id	renewable	hydro	nuclear	naturalgas	coal	other
01001	5.624836844	5.368634553	0	7.190264626	4.748185064	3.980089949
01005	0	0	0	0	0	0
01015	0	5.108578553	0	5.277323701	0	2.86125953
01017	0	0	0	0	0	0
01019	0	5.129506213	0	0	0	0
01021	0	5.543849601	0	0	0	0
01023	5.287333281	0	0	4.677566651	4.635533849	2.685360108
01025	4.870932714	0	0	4.678293125	0	1.263872677
01033	0	0	0	3.570773685	6.524332369	4.326950567
01037	0	5.475823673	0	0	0	0
01039	0	4.155943018	0	6.504110554	0	2.128928888
01047	5.432903231	0	0	5.533279059	0	0
01051	0	5.975810789	0	0	0	0
01053	3.366913946	0	0	4.592813393	0	5.363467781
01055	2.800290821	0	0	5.23904491	4.681876742	0
01063	0	0	0	4.96690309	6.301478651	2.569957649
01065	4.605531294	0	0	0	0	0
01069	0	0	7.169173943	0	0	2.875061263
01071	0	0	0	0	6.646770104	3.751603549
01073	0	0	0	5.554053206	7.242508165	0
01077	0	6.334006962	0	0	0	0
01079	5.45513133	6.043230201	0	5.145687403	4.673736295	1.994506318
01081	0	5.473720477	0	7.03665971	0	0
01083	0	0	7.416278195	0	0	0
01085	0	0	0	5.743126256	0	0
01091	5.013929139	0	0	3.010910254	4.386434807	4.035744478
01095	0	5.82377474	0	0	0	0
01097	5.279146209	0	0	7.033550984	6.717144736	0
01099	4.85891178	0	0	2.863297278	0	3.124420423
01103	0	0	0	6.859175538	0	0
01111	0	4.839144814	0	0	0	0
01113	5.77226016	0	0	5.293616389	0	0
01117	0	0	0	0	6.908707964	4.489590058
01121	4.771060879	5.297311764	0	3.912912551	4.396767883	0
01123	0	0	0	6.699544977	0	0
01125	0	5.49835467	0	0	0	0
01127	0	5.343339653	0	0	6.483537946	3.904391191
01129	0	0	0	5.958243491	6.270196606	3.879726898
01131	5.672900883	5.476993843	0	4.675607898	3.184005101	3.876458253
02016	3.40915035	4.389343311	0	0	0	4.961409835
02020	0	0	0	6.047911138	0	3.096997905
02050	0	0	0	0	0	4.840958784
02060	0	0	0	0	0	4.279917777
02068	0	0	0	0	5.333064504	2.056317776
02070	0	0	0	0	0	4.346313847
02090	0	0	0	3.428705322	5.671773407	5.784286854
02100	0	0	0	0	0	0
02110	0	5.632666796	0	0	0	3.734479789
02122	0	5.676658865	0	6.37424638	0	2.497388596
02130	0	5.260188298	0	0	0	2.658964843
02150	4.212533836	5.117672253	0	0	0	3.750276915
02164	0	0	0	0	0	1.812913357
02170	0	4.852028385	0	0	0	3.547159121
02180	0	0	0	0	0	4.652091554
02185	0	0	0	5.08676837	0	4.47622541
02188	3.470557485	0	0	0	0	4.401383307
02195	0	4.122510771	0	0	0	3.567912881
02198	0	4.678700435	0	0	0	3.336259552
02220	0	5.055523582	0	0	0	3.55448916
02230	0	4.423966369	0	0	0	2.752816431
02240	0	0	0	0	0	4.058084225
02261	0	4.784681469	0	0	0	4.756415482
02270	0	0	0	0	0	3.87667961
02275	0	0	0	0	0	2.63748973
02282	0	0	0	0	0	3.76952502
02290	0	0	0	0	0	3.928856534
04001	3.899765802	0	0	0	7.196333567	4.387005769
04003	0	0	0	5.544952731	6.104712497	2.117271296
04005	0	6.563286796	0	0	7.200743032	4.079087971
04007	4.708429399	0	0	0	0	0
04012	0	4.885412111	0	0	0	0
04013	5.599246441	5.506912077	7.504252179	7.38322439	0	0
04015	4.425860145	6.437735663	0	6.479975736	0	0
04017	5.583745312	0	0	3.892389711	6.855325063	4.453826626
04019	4.520732103	0	0	5.899345248	4.926568447	0
04021	3.568553712	0	0	6.201137312	0	1.653579097
04023	0	0	0	4.274157849	0	0
04025	4.874122173	0	0	0	0	0
04027	5.631912311	0	0	5.542372405	0	3.144531866
05001	4.044774874	0	0	0	0	0
05003	5.642050893	0	0	4.908509859	0	4.101065446
05005	0	5.188731671	0	0	0	0
05007	0	0	0	0	6.57851931	3.330244893
05011	4.788083484	0	0	0	0	0
05015	0	5.035969769	0	0	0	0
05019	0	4.66899127	0	0	0	0
05021	0	0	0	0	0	0
05023	0	5.200959878	0	0	0	0
05029	0	4.930821728	0	0	0	0
05031	0	0	0	5.272241345	0	0.83225337
05033	0	4.849523828	0	0	0	0
05041	5.0707303	5.43705577	0	4.695764445	0	0
05047	0	4.952937668	0	5.058454799	0	1.711132072
05051	0	5.331253139	0	0	0	0
05055	0	0	0	4.332842267	0	0
05057	0	0	0	4.848705903	5.444950028	0
05059	0	4.434201514	0	6.568802982	0	0
05063	0	4.403412242	0	0	7.017723945	3.539949457
05065	2.797004252	0	0	0	0	0
05069	5.517688064	0	0	6.180549538	6.977497809	4.061836539
05073	0	0	0	0	0	0
05081	5.80769303	0	0	4.731405372	4.994238647	4.274896146
05089	0	5.693459609	0	0	0	0
05093	0	0	0	5.837466535	6.638798714	4.128055284
05103	0	0	0	5.297254838	0	3.011142281
05107	0	0	0	0	0	0
05109	0	4.442620853	0	0	0	0
05115	0	5.541268388	7.190139193	0	0	0
05119	4.488045654	4.983445857	0	5.557648148	0	0.903089987
05137	0	4.316054259	0	0	0	0
05139	0	0	0	6.996618931	0	0
05143	4.456806179	0	0	5.014591935	0	0
05147	0	0	0	4.667471632	0	0
06001	5.788462916	0	0	5.383704086	0	4.090273399
06005	3.876250873	5.894483322	0	2.722163182	0	0
06007	5.001201333	6.450927894	0	3.968623021	0	0
06009	0	5.602795497	0	0	0	0
06011	5.263602176	0	0	6.430927688	0	0
06013	5.596045907	0	0	7.241378247	0	5.090463668
06017	0	6.181673837	0	4.006543909	0	0
06019	5.71869721	6.44036099	0	6.025738653	0	0
06021	0	3.937066312	0	0	0	0
06023	5.527341194	0	0	5.616929987	0	3.616161364
06025	6.588948119	5.473822597	0	6.004025149	0	2.312130792
06027	6.147942074	5.291091222	0	0	0	0
06029	6.64938079	5.571408331	0	7.377401058	5.429925511	4.327234657
06031	4.982660114	0	0	5.062284833	0	0
06033	6.097906357	3.858717615	0	0	0	0
06035	5.300628392	4.46886404	0	4.490546403	0	0
06037	6.051277933	6.083214069	0	7.295832723	0	5.333436325
06039	4.79023589	5.768702464	0	4.660210698	0	0
06043	0	5.361212041	0	0	0	0
06045	0	4.517050669	0	0	0	0
06047	4.903182265	5.04377476	0	0	0	0
06051	5.324825498	5.286454224	0	0	0	0
06053	4.604927703	0	0	6.746707042	0	0
06055	3.83570826	0	0	2.893051779	0	0
06057	0	5.54625633	0	0	0	0
06059	5.3205537	4.125090713	0	6.222807693	0	0
06061	5.452571384	6.162912837	0	5.7635261	0	2.539076099
06063	5.34828677	6.068804569	0	0	0	0
06065	6.339265728	5.118608586	0	6.746988582	0	2.004441756
06067	5.398740249	5.717874291	0	6.721330642	0	0
06071	5.866659284	6.183588684	0	7.123430725	5.965940187	0
06073	5.512252851	4.630427875	5.90033435	6.990938591	0	2.783092807
06075	4.149003452	0	0	4.499650826	0	4.930376577
06077	5.145033675	4.519775508	0	5.797289745	4.810060433	4.303851261
06079	4.376339673	3.954821183	7.248279079	5.361382151	0	0
06081	4.97953927	0	0	4.73084685	0	0
06083	4.607358503	0	0	5.531368362	0	0
06085	4.71917876	0	0	6.686700809	0	2.584908769
06087	4.489705419	0	0	4.162410196	0	2.265200023
06089	6.004633803	6.758558109	0	5.187881977	0	0
06091	0	4.434760462	0	0	0	0
06093	4.780463378	5.507239059	0	0	0	0
06095	6.431350574	4.608055114	0	5.630205296	0	0
06097	6.766708424	4.053270567	0	4.056257499	0	0
06099	3.694692926	4.427599699	0	6.315626213	0	3.293275687
06101	0	0	0	6.24515398	0	0
06103	1.176091259	4.946629091	0	4.386802063	0	0
06105	0	5.649388412	0	0	0	0
06107	4.812023813	4.839327181	0	0	0	0
06109	5.226684952	6.408820277	0	0	0	0
06111	4.304740025	3.346157302	0	6.190977732	0	0
06113	5.31363865	0	0	2.627770259	0	0
06115	4.035509785	6.100249201	0	0	0	0
08001	0	0	0	5.372862526	6.471626766	2.688748089
08003	5.297460668	0	0	3.636269992	0	2.72930413
08005	4.332034277	0	0	0	0	0
08009	0	0	0	0	0	0
08011	5.421598992	0	0	0	0	0
08013	3.180985581	4.484029211	0	4.053442867	6.002407601	0
08015	0	3.163459552	0	0	0	0
08019	0	0	0	0	0	0
08029	0	0	0	2.439926087	0	1.500016801
08031	4.653822019	0	0	5.1369333	5.872475994	0
08035	0	0	0	0	0	0
08037	0	0	0	4.192288613	0	0.84509804
08041	4.197674663	5.029294474	0	6.195783045	6.459860816	3.283034463
08043	0	0	0	0	5.349563077	0
08045	3.501606922	4.778144012	0	4.420087833	0	0
08049	0	0	0	0	0	0
08051	0	5.235828814	0	0	0	0
08055	4.291834867	0	0	0	0	0
08059	4.014394516	0	0	5.143435387	5.151026509	0
08063	5.303651719	0	0	0	0	3.483444648
08065	0	0	0	0	0	0
08067	0	4.479632886	0	0	0	0
08069	3.934649923	5.781521295	0	4.49525286	6.325527444	2.970612301
08071	0	0	0	0.202488317	0	1.350364332
08073	6.029941913	0	0	5.146309688	0	3.114755391
08075	6.319928045	0	0	0	0	0
08077	0	4.647265577	0	2.596619085	0	1.379849179
08081	0	0	0	3.945256014	6.962131285	1.238773502
08083	0	4.32362331	0	0	0	0
08085	0	5.550593985	0	0	5.741084258	3.370778174
08087	0	0	0	5.415310894	6.513857554	0
08089	0	0	0	0	0	1.86332286
08093	0	0	0	0	0	0
08097	0	4.109713505	0	0	0	0
08099	5.726530795	0	0	0	0	1.204119983
08101	3.529045171	0	0	5.991328278	6.95370608	0
08103	0	3.883434294	0	0	0	0
08107	0	0	0	3.417504243	6.393336618	2.940046077
08109	0	0	0	0	0	0
08113	0	3.914343157	0	0	0	0
08115	0	0	0	0	0	0
08117	0	4.555263778	0	0	0	0
08123	6.229869902	0	0	6.842690537	0	0
