id	renewable	hydro	nuclear	naturalgas	coal	other
01001	4.495176757	5.573872575	0	6.426591441	3.624178435	4.01308052
01005	3.714475618	0	0	0	0	0
01015	0	5.312479907	0	5.297331474	0	4.531057191
01017	0	3.164054994	0	0	0	0
01019	0	5.353735478	0	0	0	0
01021	0	5.75159393	0	0	0	3.331021968
01023	5.412520928	0	0	4.001040631	4.647662925	4.240039937
01025	4.158681946	0	0	4.801718202	0	0
01033	0	0	0	2.72916479	6.888949249	4.520273868
01037	0	5.693229951	0	0	0	0
01039	0	4.462682413	0	5.996566393	0	0.954242509
01047	5.439707247	0	0	5.274447571	0	3.784103976
01051	0	6.260179233	0	0	0	0
01053	5.312673876	0	0	4.448123539	0	4.015463972
01055	0	0	0	0	5.633294704	0
01063	0	0	0	5.079597246	6.577117203	4.201178556
01069	0	0	7.137934165	0	0	2.646401766
01071	0	0	0	0	6.992800328	4.206340058
01073	3.554032688	0	0	5.241492203	7.329605803	0
01077	0	6.369987436	0	0	0	0
01079	5.618946975	6.051568474	0	4.505616178	0	4.122043657
01081	0	5.846581411	0	6.276555776	0	0
01083	0	0	7.254206839	0	0	0
01085	0	0	0	5.709162222	0	0
01091	4.946413046	0	0	3.907965876	3.358786604	4.96514324
01095	0	5.834167556	0	0	0	0
01097	5.305168444	0	0	6.625780657	7.072035638	4.010681536
01099	5.896622316	0	0	3.488806376	0	4.263946751
01103	0	0	0	6.251802876	0	0
01111	0	5.268697293	0	0	0	0
01113	5.59488221	0	0	4.580222011	0	2.601956671
01117	0	0	0	0	7.051497543	4.15854341
01121	4.79546116	5.559200173	0	3.95908921	4.896913691	3.071243125
01125	0	5.560274962	0	0	0	0
01127	0	5.334419569	0	0	6.897506132	4.088596728
01129	0	0	0	5.923651691	6.586628144	3.739018246
01131	5.55959987	5.650508592	0	4.847523994	4.745582997	3.920699217
02016	3.687796501	0	0	0	0	4.973693832
02020	0	0	0	5.998534828	0	2.54654143
02050	0	0	0	0	0	4.785842135
02060	0	0	0	0	0	4.350519348
02068	0	0	0	0	5.341078237	1.959041392
02070	0	0	0	0	0	4.333507769
02090	2.582707415	0	0	0	5.607452651	5.570140355
02100	0	0	0	0	0	2.187517901
02110	0	5.532044414	0	0	0	3.278525193
02122	0	5.68735057	0	6.428060024	0	2.619762589
02130	0	5.229251685	0	0	0	0
02150	0	5.084444007	0	0	0	4.162833054
02164	0	0	0	0	0	1.602059991
02170	0	5.127681314	0	0	0	3.604765669
02180	0	0	0	0	0	4.473983038
02185	0	0	0	4.676281978	0	4.443701005
02188	2.770115295	0	0	0	0	4.342856778
02195	0	4.117437025	0	0	0	3.525951341
02196	0	0	0	0	0	2.841984805
02198	0	4.366422957	0	0	0	3.352567615
02220	0	4.964335071	0	0	0	3.716921157
02230	0	4.123590365	0	0	0	3.833019483
02240	0	0	0	0	0	4.125741504
02261	0	4.843618917	0	0	0	4.609359603
02290	0	0	0	0	0	2.255274918
04001	4.081275244	0	0	0	7.065694304	4.182386117
04003	0	0	0	5.080727474	6.440189855	2.618048097
