id	renewable	hydro	nuclear	naturalgas	coal	other
01001	5.644079779	5.191671739	0	7.116518033	4.668330489	3.834469662
01015	0	5.473939277	0	3.75703622	0	2.361230946
01017	0	0	0	0	0	0
01019	0	5.501894168	0	0	0	0
01021	0	5.88899058	0	0	0	0
01023	5.208812936	0	0	4.664166313	4.618791339	2.910178144
01025	4.887198758	0	0	4.683776877	0	1.593363613
01033	0	0	0	3.533578628	6.505497695	4.106883685
01037	0	5.82813443	0	0	0	0
01039	0	4.396983508	0	6.500219687	0	2.310387393
01047	5.372601815	0	0	5.521541444	0	0
01051	0	6.330031467	0	0	0	0
01053	5.32902859	0	0	4.697290393	0	3.611879265
01055	0	0	0	4.996990813	4.917476605	0
01063	0	0	0	4.700514628	6.388921818	2.428942673
01065	2.618048097	0	0	0	0	0
01069	0	0	7.149158184	0	0	2.869818208
01071	0	0	0	0	6.577878081	3.536729602
01073	0	0	0	5.529717339	7.310793559	0
01077	0	6.548855405	0	0	0	0
01079	5.4377151	6.270304227	0	4.784107871	4.733186982	3.569882123
01081	0	5.823499008	0	6.951941371	0	0
01083	0	0	7.426805782	0	0	0
01085	0	0	0	5.69107707	0	0
01091	4.950951423	0	0	2.933497411	3.983289183	2.280794553
01095	0	5.924247747	0	0	0	0
01097	5.271876372	0	0	7.01864411	6.69569281	0
01099	4.853382291	0	0	3.1267436	0	3.080629373
01103	4.07415792	0	0	6.681653892	0	0
01111	0	5.305101901	0	0	0	0
01113	5.764936633	0	0	5.28928461	0	0
01117	0	0	0	0	6.844091091	4.446821524
01121	4.913526429	5.69546504	0	3.407653442	4.542473195	0
01123	0	0	0	6.551041007	0	0
01125	0	5.607014071	0	0	0	0
01127	0	5.506836377	0	0	6.537666159	3.8354839
01129	0	0	0	5.944020188	6.231894273	3.780713542
01131	5.652271847	5.268868029	0	4.639956538	3.603884317	3.302716124
02013	0	3.386040351	0	0	0	3.322855793
02016	3.81229622	0	0	0	0	4.950088366
02020	4.955808927	0	0	6.188995588	0	3.227128469
02050	0	0	0	0	0	4.817069316
02060	0	0	0	0	0	4.269606331
02068	4.851319513	0	0	0	5.281178502	2.405112328
02070	0	0	0	0	0	4.342994783
02090	0	0	0	3.699008307	5.637046077	5.603398608
02100	0	0	0	0	0	2.926342447
02105	0	4.416041067	0	0	0	3.839226574
02110	0	5.603327366	0	0	0	2.85672889
02122	0	5.606576969	0	6.241714624	0	2.923210849
02130	0	5.229794432	0	0	0	4.115210977
02150	4.426494995	5.076064886	0	0	0	3.764026608
02164	0	3.515211304	0	0	0	1.875061263
02170	0	4.953933568	0	0	0	0
02180	0	0	0	0	0	4.669130847
02185	0	0	0	5.100683707	0	4.468570492
02188	3.07773118	0	0	0	0	4.4672084
02195	0	0	0	0	0	3.472610198
02198	0	4.312600439	0	0	0	0
02220	0	5.054015201	0	0	0	2.178976947
02240	3.204119983	0	0	0	0	4.040531138
02261	0	4.869431215	0	0	0	4.650909483
02270	0	0	0	0	0	3.887223331
02275	0	4.06881643	0	0	0	3.099514901
02282	0	0	0	0	0	3.744762237
02290	0	0	0	0	0	4.038977622
04001	3.890253305	0	0	0	7.235697037	4.422230323
04003	0	0	0	4.916183228	6.351282964	0
04005	5.322095193	6.522738359	0	0	7.233495516	4.081492624
04007	4.727882703	0	0	0	0	0
04012	0	4.896950384	0	0	0	0
04013	5.99828059	5.198225327	7.497359304	7.366401334	0	2.415068548
04015	4.667116595	6.374739733	0	6.612465222	0	0
04017	5.506010345	0	0	3.150453095	6.819686492	3.871432876
04019	5.257270891	0	0	5.655412454	5.503125417	0
04021	3.998751347	0	0	6.104831771	0	1.538448052
04023	0	0	0	4.352684697	0	2.352120747
04025	5.061188505	0	0	0	0	0
04027	5.898953236	0	0	5.705103948	0	2.564583221
05001	4.59290922	0	0	0	0	0
05003	5.643002672	0	0	4.951181815	0	3.777719637
05005	0	5.169104011	0	0	0	0
05007	0	0	0	0	6.485921695	3.666292725
05011	4.429503402	0	0	0	0	0
05015	0	4.887622926	0	0	0	0
05019	0	4.745184133	0	0	0	0
05021	0	0	0	0	0	1
05023	0	5.096510278	0	0	0	0
05029	0	5.161008437	0	0	0	0
05031	0	0	0	3.466876365	0	0.288025535
05033	0	5.056939136	0	0	0	0
05041	4.905124644	5.506376484	0	4.600192021	0	0
05047	0	4.9688937	0	3.610685283	0	2.843708559
05051	0	5.425669509	0	0	0	0
05055	0	0	0	2.830588669	0	0
05057	0	0	0	4.418416729	6.582632575	0
05059	0	4.46265251	0	6.518374417	0	0
05063	0	4.441129321	0	0	7.016271152	3.924328607
05065	3.847078862	0	0	0	0	0
05069	5.568380538	0	0	6.183135209	7.023393593	3.916377927
05073	0	0	0	0	0	0
05081	5.757096619	0	0	4.928538378	4.936953163	4.19788451
05089	0	5.680789517	0	0	0	0
05093	0	0	0	5.283350333	6.600006665	4.173082783
05103	0	0	0	5.329464534	0	3.347374126
05107	0	0	0	0	0	0
05109	0	4.432825036	0	0	0	0
05115	0	5.792911131	7.077195498	0	0	0
05119	4.545856838	5.128074202	0	5.503318343	0	0
05123	0	0	0	0	0	0
05137	0	4.354550196	0	0	0	0
05139	0	0	0	6.798257469	0	0
05143	4.490070904	0	0	4.696216553	0	0
05147	0	0	0	4.023152252	0	3.160898711
06001	5.795765821	0	0	6.24542776	0	3.523397851
06005	4.811905976	5.883879379	0	3.325843518	0	0
06007	4.06881643	6.405140179	0	3.89203892	0	0
06009	0	5.446358504	0	0	0	0
06011	5.29270841	0	0	6.404116839	0	0
06013	5.59599196	0	0	7.232236137	0	4.648652646
06017	0	6.043735886	0	4.175860732	0	0
06019	5.804041477	6.271108959	0	6.072987558	0	0
06021	0	3.89011741	0	0	0	0
06023	5.508177824	0	0	5.552189317	0	3.611474234
06025	6.667790233	5.412137857	0	6.099408264	0	2.537019005
06027	6.131841207	4.975123787	0	0	0	0
06029	6.860527208	5.245332497	0	7.397285464	5.177338027	4.342731276
06031	5.209682936	0	0	5.251183007	0	0
06033	6.071310055	3.737431201	0	0	0	0
06035	5.306131839	4.594536186	0	4.45540308	0	0
06037	6.137324997	6.017852297	0	7.25915466	0	4.54728147
06039	4.867686966	5.782217419	0	4.382138574	0	0
06043	0	5.199884021	0	0	0	0
06045	0	4.411821656	0	0	0	0
06047	4.964132289	0	0	0	0	3.181843874
06051	5.260870041	5.126722191	0	0	0	0
06053	4.70464221	0	0	6.783514392	0	0
06055	3.761178673	0	0	3.195077865	0	0
06057	0	5.432940444	0	0	0	0
06059	5.554662858	4.357267655	0	6.151159244	0	0
06061	5.501739407	6.074807301	0	5.747116603	0	1.919078092
06063	5.338346412	6.167092602	0	0	0	0
06065	6.369263813	4.935053589	0	6.611491702	0	1.048752458
06067	5.554079989	5.588342309	0	6.768042597	0	0.69019608
06071	5.884339055	6.037445622	0	7.058818719	5.82784707	0.602059991
06073	5.622409054	4.615438692	0	6.992446591	0	2.791689246
06075	4.049334336	0	0	4.9710957	0	2.21700464
06077	5.121571077	4.208521973	0	6.302788194	0	0.665111737
06079	5.907488753	3.480438147	7.255572523	5.037653547	0	0
06081	4.949916696	0	0	4.59250674	0	0
06083	4.616338955	0	0	5.567022835	0	0
06085	4.736745805	0	0	6.723820662	0	2.765548604
06087	4.450926203	0	0	3.747343046	0	1.977197562
06089	6.024799587	6.754328303	0	5.387839853	0	0
06091	0	4.352143912	0	0	0	0
06093	4.839503187	5.410333436	0	0	0	0
06095	6.450323948	4.634557874	0	5.622331131	0	0
06097	6.75517028	4.119981307	0	4.008340113	0	0
06099	4.843780752	4.607765888	0	6.315288283	0	3.350449996
06101	0	0	0	6.152329631	0	0
06103	3.010723865	4.91413146	0	4.01228874	0	0
06105	0	5.66499998	0	0	0	0
06107	5.506153694	4.675173206	0	4.475816413	0	0
06109	5.185689444	6.41929621	0	0	0	0
06111	4.339946394	3.467163966	0	6.298338183	0	0
06113	5.337051732	0	0	2.609599745	0	0
06115	4.179235721	6.00152257	0	0	0	0
08001	3.547651658	0	0	5.590209209	6.454059617	2.723255309
08003	5.307329134	0	0	3.99313653	0	2.082048958
08005	4.315781481	0	0	0	0	0
08009	0	0	0	0	0	0
08011	5.399755036	0	0	0	0	0
08013	3.171433901	4.576836417	0	4.3380431	5.995908626	1.932914938
08015	0	3.201943063	0	0	0	0
08019	0	0	0	0	0	0
08029	0	0	0	2.11613933	0	1.18585367
08031	4.637742287	0	0	4.689710347	5.846882638	0
08035	0	0	0	0	0	0
08037	3.108226656	0	0	4.209193196	0	1.491361694
08041	4.192493662	4.867178648	0	6.227093978	6.486296145	3.141622203
08043	0	0	0	0	0	0
08045	3.540387043	4.935164532	0	4.343959729	0	0
08049	0	0	0	0	0	0
08051	0	5.129057966	0	0	0	0
08055	4.989698932	0	0	0	0	0
08059	3.970207359	0	0	5.337195422	5.050082184	0
08063	5.261567363	0	0	0	0	3.494711025
08065	0	0	0	0	0	0
08067	0	4.351989455	0	0	0	0
08069	3.90118578	5.659641472	0	4.737407351	6.371349711	2.796134266
08071	0	0	0	0	0	1.266889932
08073	6.309532227	0	0	4.659277984	0	2.947487148
08075	6.382317881	0	0	0	0	0
08077	0	4.506653831	0	2.431984201	0	1.499879449
08081	0	0	0	4.213328858	6.912805066	2.209892847
08083	0	3.960756091	0	0	0	0
08085	3.300812794	5.484156	0	0	5.564355391	3.457494794
08087	0	0	0	5.755217608	6.490134129	0
08089	0	0	0	0	0	0
