id	data
01001	5.673751763
01005	0
01015	0
01017	0
01019	0
01021	0
01023	5.283203044
01025	4.843989722
01033	0
01037	0
01039	0
01047	5.383432189
01051	0
01053	3.357681435
01055	3.075622865
01063	0
01069	0
01071	0
01073	0
01077	0
01079	5.529584748
01081	0
01083	0
01085	0
01091	3.988983502
01095	0
01097	5.414899249
01099	5.085182659
01103	0
01111	0
01113	5.761503543
01117	0
01121	4.958220937
01123	0
01125	0
01127	0
01129	0
01131	0
02016	3.799642314
02020	0
02050	0
02060	0
02068	0
02070	0
02090	0
02100	0
02110	0
02122	0
02130	0
02150	4.100577303
02164	0
02170	0
02180	0
02185	0
02188	0
02195	0
02198	0
02220	0
02230	0
02240	0
02261	0
02270	0
02275	0
02282	0
02290	0
04001	3.764773717
04003	0
04005	0
04012	0
04013	4.438621448
04015	0
04017	5.438924564
04019	3.67781292
04021	2.565847819
04023	0
04025	3.745152895
04027	0
05001	4.146500129
05003	5.617611005
05005	0
05007	0
05011	4.886952975
05015	0
05019	0
05021	0
05023	0
05029	0
05031	0
05033	0
05041	5.054349357
05047	0
05051	0
05055	0
05057	0
05059	0
05063	0
05065	3.525219786
05069	5.503641447
05073	0
05081	5.806007736
05089	0
05093	0
05103	0
05107	0
05109	0
05115	0
05119	4.541554284
05123	0
05137	0
05139	0
05143	3.547159121
05147	0
06001	5.873786854
06005	0
06007	4.841822304
06009	0
06011	5.243312444
06013	5.162376191
06017	0
06019	5.556119839
06021	0
06023	5.422412511
06025	6.588214544
06027	6.204341959
06029	6.357266013
06031	0
06033	6.094767312
06035	5.372438806
06037	6.00682389
06039	4.226032503
06043	0
06045	0
06047	4.487760371
06051	5.364708551
06053	4.645398491
06055	3.770115295
06057	0
06059	5.311319489
06061	5.458382338
06063	5.321221491
06065	6.326865249
06067	4.820382761
06071	5.842892437
06073	5.481207554
06075	3.087781418
06077	5.315105962
06079	0
06081	4.976712122
06083	4.517024258
06085	4.831175058
06087	4.311541958
06089	5.917088934
06091	4.680562122
06093	0
06095	6.205378967
06097	6.754913621
06099	3.477884797
06101	0
06103	0
06105	0
06107	4.741064889
06109	5.052724715
06111	4.132472109
06113	5.292072483
06115	4.009280884
08001	0
08003	4.411114419
08005	4.293495143
08009	0
08011	5.43033794
08013	0
08015	0
08019	0
08029	0
08031	4.620885893
08035	0
08037	0
08041	3.482444792
08043	3.3433757
08045	3.493458051
08049	0
08051	0
08059	3.375303229
08063	0
08065	0
08067	0
08069	3.547780857
08071	0
08073	0
08075	6.283804673
08077	0
08081	0
08083	0
08085	0
08087	0
08089	0
08093	0
08097	0
08099	5.524284451
08101	0
08103	0
08107	0
08109	0
08113	0
08115	0
08117	0
08123	5.953734571
09001	0
09003	4.176322821
09005	4.158663981
09007	0
09009	2.617306547
09011	0
09015	0
10001	4.09338666
10003	4.958627991
10005	4.542638727
11001	0
12001	0
12005	5.338513627
12009	4.183895915
12011	4.809438499
12017	0
12027	4.727061153
12031	4.975706632
12033	5.609972295
12039	0
12047	0
12049	0
12051	5.343123832
12053	0
12055	0
12057	4.074657024
12061	0
12063	4.462143337
12065	0
12069	0
12071	0
12073	0
12077	4.976918271
12081	0
12083	4.383025021
12085	0
12086	4.453087522
12087	0
12089	5.743675525
12095	4.689142197
12097	0
12099	5.506849524
12101	0
12103	0
12105	5.193014922
12107	5.440592149
12111	0
12113	0
12121	0
12123	5.448742597
12127	4.37318795
12129	0
13001	0
13009	0
13015	0
13021	4.207790395
13033	0
13039	0
13051	5.888958181
13059	0
13061	0
13067	0
13071	0
13073	0
13077	0
13087	0
13089	4.304490528
13095	0
13099	5.39291858
13103	3.386470606
13105	0
13111	0
13113	0
13115	5.562281276
13117	0
13121	0
13125	0
13127	5.664238435
13135	4.065430319
13137	0
13141	0
13147	0
13149	0
13153	0
13157	0
13159	0
13163	0
13175	4.623309798
13179	4.980617734
13185	0
13193	5.306678845
13205	0
13207	0
13211	0
13213	0
13215	0
13219	0
13233	0
13237	1.61046852
13241	4.94393688
13245	5.544007692
13247	0
13257	0
13263	0
13269	4.129947557
13285	0
13291	0
13293	0
13297	0
13301	0
13303	0
13305	5.6906402
13321	0
15001	5.533375447
15003	3.208045581
15007	0
15009	5.360630921
16001	0
16003	4.526636461
16005	0
16009	4.554428585
16013	0
16015	0
16017	0
16019	5.402046332
16021	0
16023	0
16027	0
16029	0
16031	4.856372369
16033	0
16035	0
16039	4.78851482
16041	0
16043	0
16045	0
16047	4.575597229
16049	0
16053	0
16055	0
16059	0
16063	0
16067	0
16069	5.611057393
16073	0
16077	0
16081	0
16083	5.052571599
16085	0
16087	0
17011	5.514010861
17019	0
17021	4.385945713
17023	0
17025	0
17027	0
17031	5.03393817
17033	0
17037	5.690292678
17039	0
17041	0
17043	5.944213199
17049	0
17051	0
17053	0
17057	0
17063	4.091139154
17065	0
17073	3.70182693
17077	0
17079	0
17089	4.851423472
17091	4.1244064
17093	1.631849462
17095	0
17097	4.923653244
17103	5.494982027
17105	5.770632601
17109	0
17111	0
17113	6.047213322
17115	2.079774377
17119	4.42579498
17121	0
17125	0
17127	0
17133	0
17135	0
17137	0
17139	0
17141	0
17143	0
17145	0
17147	0
17149	3.486856771
17155	0
17157	0
17161	4.411586038
17163	4.25791845
17167	0
17171	0
17173	0
17175	5.622297972
17177	5.372698484
17179	5.468227661
17183	4.308521729
17191	0
17193	0
17195	0
17197	4.470557485
17199	0
17201	4.534609852
18001	0
18007	6.332258999
18015	0
18017	4.395972548
18019	4.22854356
18029	0
18037	0
18039	3.814979684
18041	0
18043	0
18051	0
18055	0
18057	0
18063	4.875310188
18065	0
18073	0
18075	4.215240887
18077	0
18083	0
18089	0
18091	4.587823171
18093	0
18095	0
18097	4.184330277
18103	0
18107	0
18109	0
18125	0
18127	0
18129	0
18141	4.665899794
18147	0
18153	0
18155	0
18157	0
18163	0
18165	0
18167	0
18169	0
18173	0
18177	0
18179	0
18181	5.919023671
19001	5.696683952
19003	0
19005	0
19007	0
19009	0
19011	0
19013	0
19015	0
19017	3.489395922
19019	0
19021	5.944619355
19027	5.874928059
19029	0
19031	0
19033	4.877595923
19037	0
19041	0
19043	0
19045	0
19047	0
19051	0
19053	0
19055	0
19057	0
19059	5.667676114
19061	0
19063	3.526597709
19067	5.335678502
19069	5.547975197
19073	4.595397006
19075	0
19077	0
19079	5.696157984
19081	6.033716002
19087	0
19089	5.428687034
19095	0
19097	0
19103	3.946999946
19105	0
19109	4.610340711
19111	0
19113	4.59347583
19115	0
19119	0
19121	0
19125	0
19127	0
19131	5.942295833
19133	0
19135	0
19137	0
19139	0
19141	0
19143	5.557152162
19145	0
19147	4.802527441
19151	5.874352496
19153	4.789915047
19155	5.64312387
19157	0
19163	3.916753535
19165	0
19169	5.803736498
19171	0
19173	0
19175	0
19179	0
19181	0
19187	0
19189	5.112742372
19193	0
19195	5.911615641
19197	0
20001	0
20003	0
20007	5.493089825
20009	0
20015	5.708606986
20021	0
20023	0
20025	0
20027	0
20029	5.771948141
20031	0
20035	0
20037	4.015443588
20039	0
20041	0
20045	0
20051	0
20055	0
20057	5.563243701
20059	0
20065	0
20069	5.56093379
20077	0
20083	0
20085	0
20091	0
20093	0
20095	0
20097	4.583312152
20099	0
20105	5.966910106
20107	0
20109	0
20111	0
20113	0
20119	0
20121	0
20123	0
20125	0
20131	0
20133	0
20137	0
20139	0
20141	0
20143	0
20145	0
20149	0
20151	0
20155	0
20157	0
20159	0
20163	0
20165	0
20167	0
20173	0
20175	0
20177	4.642701883
20181	0
20185	0
20187	0
20189	0
20191	0
20193	0
20199	0
20201	0
20203	5.47204081
20209	0
21015	4.414889822
21017	0
21041	0
21049	0
21059	0
21067	0
21089	4.07044425
21091	5.537342188
21093	3.959518377
21101	0
21111	0
21125	4.268554572
21127	0
21143	0
21145	0
21157	0
21161	3.060397507
21167	0
21177	0
21183	0
21185	0
21191	4.353608521
21199	0
21207	0
21217	3.785698473
21223	0
21233	0
21239	0
22001	0
22005	0
22011	5.478184365
22017	0
22019	4.865453456
22023	0
22029	0
22031	5.635897579
22033	5.77453397
22039	0
22045	3.003460532
22047	0
22049	5.529825225
22051	0
22055	0
22061	0
22071	0
22073	5.385021905
22075	0
22077	0
22079	0
22087	0
22089	0
22093	0
22101	0
22109	0
22117	5.684717877
22119	0
22121	0
22125	0
23001	5.378167064
23003	5.790624268
23005	5.396290018
23007	5.903966003
23009	4.676500301
23011	0
23013	4.071771579
23015	4.855273816
23017	5.620083703
23019	5.343757357
23021	4.984464302
23023	0
23025	5.737012512
23027	4.147676324
23029	5.782441491
23031	0
24001	5.171744577
24003	0
24005	4.257750551
24009	0
24015	0
24017	0
24019	0
24023	3.174350597
24025	0
24031	4.182785442
24033	4.36616391
24039	4.209021005
24041	2.215140338
24043	0
24045	2.634209154
24047	3.827627705
24510	0
25001	3.62324929
25003	0
25005	4.742222221
25007	0
25009	0
25011	0
25013	4.574482699
25017	0
25019	0
25021	3.158362492
25023	4.192009593
25025	3.496212193
25027	5.235937299
26001	5.06454183
26003	0
26005	0
26007	4.376421514
26013	4.839294511
26017	4.312367795
26021	0
26023	0
26025	4.261786087
26029	0
26031	3.344785123
26033	0
26035	2.959518377
26037	4.890079933
26039	5.314964278
26041	5.657445956
26043	5.31905186
26045	0
26047	0
26049	5.309949384
26051	0
26053	0
26057	0
26059	0
26061	0
26063	5.480482681
26065	0
26067	0
26069	0
26071	0
26073	3.621752534
26075	0
26077	0
26079	0
26081	4.340781108
26091	4.273695588
26093	0
26095	0
26099	4.73986494
26101	4.347648134
26103	0
26105	0
26107	0
26109	0
26111	0
26113	5.219020158
26115	0
26117	0
26119	5.107520905
26121	0
26123	0
26125	3.959184543
26127	0
26131	0
26133	0
26135	0
26137	0
26139	4.689113427
26141	0
26147	0
26149	0
26151	0
26153	0
26155	4.104930739
26157	0
26159	0
26161	5.123975707
26163	5.164555083
26165	5.314610787
27003	3.223755454
27005	0
27007	0
27009	4.365271888
27013	0
27015	0
27017	5.564530772
27019	0
27021	0
27023	0
27025	0
27027	3.842359573
27031	0
27033	5.404549794
27035	0
27037	4.770991847
27039	4.950213896
27041	0
27043	3.790144365
27045	0
