id	renewable	hydro	nuclear	naturalgas	coal	other
01001	5.669892883	5.491889531	0	7.198038897	4.603892177	3.661660514
01015	0	5.298296212	0	3.044663995	0	3.489351308
01017	0	0	0	0	0	0
01019	0	5.32668807	0	0	0	0
01021	0	5.746453595	0	0	0	0
01023	5.186414516	0	0	4.777890501	4.608982808	2.587764828
01025	4.871824298	0	0	4.65542435	0	2.183084695
01033	0	0	0	3.726992756	6.427232599	4.03271274
01037	0	5.667489376	0	0	0	0
01039	0	4.144387374	0	6.602186125	0	1.771851945
01047	5.364258948	0	0	5.507988863	0	0
01049	4.499150755	0	0	0	0	0
01051	0	6.175463395	0	0	0	0
01053	5.257532128	0	0	4.930105268	0	3.910176755
01055	0	0	0	5.298875576	4.194367045	0
01063	0	0	0	4.683906918	6.341869748	3.578487238
01065	4.591098013	0	0	0	0	0
01069	0	0	7.154779541	0	0	2.942504106
01071	0	0	0	0	6.211292569	2.904604659
01073	0	0	0	5.38040555	7.245436941	0
01077	0	6.428766492	0	0	0	0
01079	0	6.158309107	0	0	0	0
01081	0	5.713053509	0	7.031675786	0	0
01083	0	0	7.442004356	0	0	0
01085	0	0	0	5.732263452	0	0
01091	5.225640088	0	0	4.135719173	4.263755217	3.015300224
01095	0	5.869738492	0	0	0	0
01097	5.326538273	0	0	7.014535221	6.65896109	0
01099	5.853270272	0	0	4.589596328	0	3.68701928
01103	4.081671287	0	0	6.809069999	0	0
01111	0	5.197586525	0	0	0	0
01113	5.766283737	0	0	5.308832373	0	0
01117	0	0	0	5.296393693	6.803877781	4.171969766
01121	4.976466196	5.554558206	0	4.984809198	0	0
01123	0	0	0	6.714945384	0	0
01125	0	4.749442565	0	0	0	0
01127	0	5.38217019	0	0	6.666311342	4.153789903
01129	0	0	0	6.042823104	6.21456642	3.945976245
01131	5.51404425	5.574120434	0	4.680277991	2.361461513	3.262065274
02013	0	3.3872118	0	0	0	3.15624619
02016	3.677668808	0	0	0	0	4.933448422
02020	5.00300132	0	0	6.311092138	0	2.933830842
02050	0	0	0	0	0	4.823010996
02060	0	0	0	0	0	4.323973605
02068	4.862035919	0	0	0	5.382228226	3.818922845
02070	0	0	0	0	0	4.350964788
02090	0	0	0	0	5.629849881	5.546067498
02100	0	0	0	0	0	0
02105	0	4.447716051	0	0	0	3.789016327
02110	0	5.631119957	0	0	0	2.432969291
02122	0	5.6885355	0	5.948751269	0	2.788241219
02130	0	5.300423732	0	0	0	3.37401474
02150	4.463997446	5.110229332	0	0	0	0
02164	0	3.513350799	0	0	0	1.51851394
02170	0	4.964933419	0	0	0	0
02180	0.301029996	0	0	0	0	4.638828573
02185	0	0	0	5.136980926	0	4.425580582
02188	3.510410948	0	0	0	0	4.517090282
02220	0	5.037474308	0	0	0	0
02240	3.602059991	0	0	0	0	4.0053916
02261	0	4.885609963	0	0	0	4.601168774
02270	0	0	0	0	0	3.952937668
02275	0	4.102742336	0	0	0	3.558893286
02282	0	0	0	0	0	3.711975854
