id	renewable	hydro	nuclear	naturalgas	coal	other
01001	4.247113642	0	0	1.397940009	6.395278529	0.903035697
01005	3.990205615	0	0	0	5.93772897	3.180125875
01009	0	3.781036939	0	0	0	1.301116846
01015	0	0	0	0	6.178108255	3.297705541
01017	0	0	0	0	0	0
01019	0	0	0	0	6.19965424	3.378208133
01021	0	0	0	3.45442583	5.787316686	5.014792623
01023	0	0	0	3.526339948	5.592597568	2.682508765
01033	0	0	0	5.242172104	0	0
01037	0	0	0	0	0	2.008600172
01039	0	0	0	6.439362225	4.596718131	1.799340549
01051	4.8655363	4.230244525	0	0	5.925855218	6.097929636
01053	0	0	0	5.736207125	0	0
01055	0	0	0	3.847652786	0	0
01069	0	0	0	5.185463663	6.173802664	4.640948684
01071	0	4.4683178	0	0	0	0
01073	0	0	0	6.149109755	6.592766486	3.651568739
01077	0	0	0	0	0	0
01079	0	5.334236548	0	6.550057048	7.036897492	0
01081	0	5.766394999	0	5.248319092	7.00800866	4.108903094
01083	0	5.350776992	0	0	0	0
01085	0	5.304875963	0	0	0	0
01091	0	5.514012191	0	0	0	0
01095	0	6.008823223	0	0	0	0
01097	0	6.227536815	7.1188592	0	7.090541963	4.10002573
01099	0	5.152199641	0	4.602743467	7.289145269	0
01103	0	0	0	6.093065698	0	0
01113	0	0	0	6.110803102	0	0
01121	5.646390157	4.360176734	0	2.988494718	0	3.794279947
01123	0	3.686368014	0	0	0	1.079181246
01125	0	4.388811431	0	0	0	3.054229143
01127	0	5.445806516	0	0	0	2.797957569
01129	0	0	0	0	0	4.105714511
01131	0	0	0	0	0	3.460897993
02013	0	0	0	0	0	0
02016	0	3.253338005	0	5.189903842	0	3.00094402
02020	0	4.268133201	0	0	0	0
02050	0	4.367486376	0	0	0	3.990649588
02060	0	0	0	0	0	3.425860145
02068	0	0	0	0	0	3.739493152
02070	0	0	0	0	0	3.619302076
02090	0	0	0	5.578809489	6.858470378	4.016275573
02100	0	0	0	0	0	1.968478279
02110	0	6.16046643	0	6.379998567	0	0
02122	5.576874789	5.952356479	0	6.367116198	5.52650733	5.286653558
02130	0	0	0	0	0	3.258397565
02150	0	0	0	2.029400013	0	1.755867236
02164	0	0	0	3.844973938	0	0
02170	0	0	0	3.345373731	0	0
02180	2.378397901	0	0	4.614433992	0	0.698970004
02185	4.779670681	0	0	4.860302974	4.661951765	4.153113301
02188	0	0	0	0	4.522723774	0
02195	2.632390057	0	0	3.272719352	6.148108549	3.821401119
02196	3.016835181	0	0	3.628534427	0	1.836769261
02198	0	0	0	6.092905479	6.820791017	3.939119818
02220	0	0	0	4.740188937	6.846158099	3.877256133
02230	0	0	0	4.345118765	0	2.788875822
02240	0	0	0	0	5.583009367	3.290924559
02261	3.971109026	5.239559728	0	6.046428481	5.869396894	2.613838652
02290	0	0	0	0	0	2.401400541
04001	0	4.661367774	0	3.036227946	0	1.913792667
04003	0	5.496684771	0	0	6.716957075	4.202733458
04005	0	4.9143696	0	0	0	0
04007	0	4.553713158	0	0	0	0
04012	0	5.489096062	0	0	0	0
04013	1.939519253	5.529345643	0	6.605621438	7.511573525	4.973326475
04015	0	0	0	4.191590754	6.54906006	4.615908029
04017	0	0	0	2.880813592	0	2.702430536
04019	0	0	0	0	5.388923061	0
04021	0	0	0	5.295408438	6.306759937	4.061492242
04023	0	0	0	4.095713187	0	0
04025	3.748398609	0	0	2.808544266	0	3.639231949
04027	0	4.579615664	0	0	3.501585029	0
05001	0	4.195582253	0	0	0	0
05003	0	2.227876425	0	0	0	1.934488351
05005	3.778802204	0	0	0	0	0
05007	0	0	0	5.086427461	6.433384957	3.02325246
05011	0	4.26651392	0	0	0	0
05015	0	0	0	3.008174184	6.830204626	3.610660163
05019	0	0	0	0	0	2.506505032
05021	0	4.033825774	0	0	0	0
05023	0	0	0	5.413618242	0	0
05029	0	0	0	6.152760918	0	0
05033	0	0	0	5.504124104	0	3.83238116
05041	0	0	7.448901152	4.629511534	7.174484615	0
05047	3.598571773	0	0	4.164233855	0	4.095204268
05051	0	0	0	4.403360776	0	5.635121685
05055	0	5.803190039	0	0	0	0
05057	0	0	0	3.298634783	0	0
05059	0	5.048802926	0	4.347642244	0	0
05063	0	0	0	5.140036411	0	0
05065	0	0	0	1.342343711	0	0
05067	0	0	0	0	0	0
05069	0	4.699993732	0	0	7.335749352	4.480050083
05073	0	0	7.188924295	0	0	0
05085	0	0	0	6.485989593	0	4.307816939
05089	0	0	0	0	0	0
05093	0	4.214905307	0	3.715092432	0	2.192610156
05109	0	0	0	0	0	1.633428054
05115	0	4.043126319	0	5.422898562	0	0
05119	0	0	0	5.638585091	7.182412741	3.856970433
05123	0	0	0	3.453929592	0	2.424881637
05131	0	0	0	6.014083084	0	0
05147	0	0	0	4.482898426	0	0
06001	0	3.647871765	0	5.655785158	6.15203378	5.379215398
06005	0	0	0	6.391715077	5.134725216	3.092018471
06007	4.779495481	4.937111491	0	6.090938538	0	3.082065496
06009	0	2.565852539	0	5.3042275	0	1.255248377
06011	0	3.601951513	0	0	0	0
06013	4.10761693	0	0	5.876140739	7.375157837	4.449540122
06017	0	4.70895601	0	2.571704174	0	2.296654223
06019	5.576727089	0	0	6.314192427	0	4.6647172
06021	4.730313825	0	0	0	0	0
06023	4.945729438	0	0	0	0	0
