id	renewable	hydro	nuclear	naturalgas	coal	other
01001	5.611342979	5.385902851	0	6.564001844	4.731229853	4.059837501
01005	2.139060079	0	0	0	0	0
01015	0	5.065568512	0	5.344347061	0	4.132644043
01017	0	3.099680641	0	0	0	0
01019	0	5.074882238	0	0	0	0
01021	0	5.567007535	0	3.200029267	0	0
01023	5.320640369	0	0	4.330643462	4.718132074	3.737928808
01025	4.841999664	0	0	4.732465027	0	2.593761094
01033	0	0	0	2.91995678	6.882141666	4.553979131
01037	0	5.498948429	0	0	0	0
01039	0	4.355604751	0	6.047183714	0	0
01047	5.411411429	0	0	5.013167778	0	3.369022795
01051	0	5.969418242	0	0	0	0
01053	5.417387957	0	0	4.053131324	0	3.779409676
01055	3.589031142	0	0	3.792642177	5.770272056	0
01063	0	0	0	5.168370553	6.523753614	3.582643475
01069	0	0	7.148393631	0	0	2.831229694
01071	0	0	0	0	6.964171747	4.189224687
01073	0	0	0	5.319179725	7.331462344	0
01077	0	6.185926136	0	0	0	0
01079	5.592339213	5.887194614	0	4.397583585	0	3.970451485
01081	0	5.45768362	0	6.709155774	0	0
01083	0	0	7.39653786	0	0	0
01085	0	0	0	5.693276597	0	0
01091	5.263133454	0	0	3.557409866	4.034266233	3.299088928
01095	0	5.703391985	0	0	0	0
01097	5.212445592	0	0	6.782070598	6.983345283	0
01099	5.869427062	0	0	3.564551144	0	4.201888773
01103	0	0	0	6.579614074	0	0
01111	0	4.901845036	0	0	0	0
01113	5.78375663	0	0	4.770619992	0	2.413636673
01117	0	0	0	0	7.056481345	4.351630208
01121	4.784814	5.335638401	0	3.893706293	4.752773537	0
01125	0	5.310398019	0	0	0	0
01127	0	5.096019666	0	0	6.891252517	4.054473093
01129	0	0	0	5.950446642	6.55161486	3.995737702
01131	0	5.468970259	0	5.618825762	0	4.664902653
02016	3.670403395	3.388988785	0	0	0	4.90199365
02020	0	0	0	6.087250308	0	2.285433529
02050	0	0	0	0	0	4.762160252
02060	0	0	0	0	0	4.344961789
02068	0	0	0	0	5.343133357	2.331830022
02070	0	0	0	0	0	4.324652786
02090	0	0	0	0	5.599377039	5.717590022
02100	0	0	0	0	0	0
02110	0	5.446984279	0	0	0	4.660723219
02122	0	5.482047067	0	6.436508254	0	1.402570868
02130	0	5.225980885	0	0	0	4.216103064
02150	0	5.082350859	0	0	0	4.322942516
02164	0	0	0	0	0	2.442479769
02170	0	4.762108131	0	0	0	3.627775375
02180	0	0	0	0	0	4.619667139
02185	0	0	0	4.67938014	0	4.479958852
