id	renewable	hydro	nuclear	naturalgas	coal	other
01001	5.646536308	5.470489874	0	7.091822637	4.662399306	3.633656676
01015	0	5.297909262	0	4.266961925	0	4.006377677
01017	0	0	0	0	0	0
01019	0	5.321995886	0	0	0	0
01021	0	5.749688401	0	0	0	0
01023	5.194253962	0	0	4.737017291	4.598096164	3.066797615
01025	4.90372386	0	0	4.635440014	0	2.060172593
01033	0	0	0	3.753929284	6.553364548	4.126388237
01037	0	5.668706393	0	0	0	0
01039	0	4.167199143	0	6.504237001	0	1.770947693
01047	5.381375395	0	0	5.491043284	0	0
01049	4.507343048	0	0	0	0	0
01051	0	6.203843575	0	0	0	0
01053	5.266748174	0	0	4.842501177	0	3.828250474
01055	3.109885853	0	0	4.778685466	5.191418148	0
01063	0	0	0	4.993486231	6.438242642	4.212357053
01065	4.502358829	0	0	0	0	0
01069	0	0	7.16152938	0	0	2.859738566
01071	0	0	0	0	6.568460334	3.561585281
01073	0	0	0	5.372783517	7.266525014	0
01077	0	6.388870841	0	0	0	0
01079	4.316932008	6.095970226	0	3.872029872	3.844021829	2.396445203
01081	0	5.697718303	0	7.007363526	0	0
01083	0	0	7.427133792	0	0	0
01085	0	0	0	5.73005677	0	0
01091	5.119067409	0	0	3.646619055	4.235761641	2.485245713
01095	0	5.853313015	0	0	0	0
01097	5.299290795	0	0	7.000377147	6.711203807	0
01099	4.917111536	0	0	3.553620672	0	2.82811185
01103	4.093141405	0	0	6.683855137	0	0
01111	0	5.170197153	0	0	0	0
01113	5.778860561	0	0	5.326584761	0	2.33740934
01117	0	0	0	0	6.806571687	4.431136295
01121	4.92426922	5.539120028	0	4.730803384	3.831402352	1.878728553
01123	0	0	0	6.701391382	0	0
01125	0	5.077782014	0	0	0	0
01127	0	5.386686198	0	0	6.719768734	3.332906438
01129	0	0	0	5.978830098	6.271517181	3.917133233
01131	5.607450616	5.551700011	0	4.708359151	3.391468115	3.417696671
02013	0	3.573799582	0	0	0	1.866287339
02016	3.802494114	0	0	0	0	4.958244074
02020	5.016944672	0	0	6.157321024	0	3.011701093
02050	0	0	0	0	0	4.811098898
02060	0	0	0	0	0	4.316347829
02068	4.855997404	0	0	0	5.268605947	2.466932834
02070	0	0	0	0	0	4.331832044
02090	0	0	0	3.334677275	5.571336349	5.510307607
02100	0	0	0	0	0	0
02105	0	4.444388346	0	0	0	3.792251572
02110	0	5.627702714	0	0	0	2.298853076
02122	0	5.667102574	0	6.235215804	0	2.692846919
02130	0	5.297745196	0	0	0	0
02150	4.367784412	5.127205258	0	0	0	0
02164	0	3.53058386	0	0	0	1.505149978
02170	0	4.919653282	0	0	0	0
02180	0	0	0	0	0	4.648008529
02185	0	0	0	5.115770373	0	4.453042307
02188	3.65724713	0	0	0	0	4.434967888
02220	0	5.047270972	0	0	0	2.399673721
02240	3.653212514	0	0	0	0	4.002535811
02261	0	4.872622379	0	0	0	4.600951126
02270	0	0	0	0	0	3.877486528
02275	0	4.117536433	0	0	0	3.611517261
02282	0	0	0	0	0	3.733518251
02290	0	0	0	0	0	4.015988105
04001	3.705949195	0	0	0	7.202148903	4.43333023
04003	0	0	0	4.553244581	6.415361067	2.391654804
04005	5.319734654	6.524346653	0	0	7.237624382	4.141996421
