County,Renewable,Hydro,Nuclear,Natural.Gas,Coal,Other
01001,421538.11,233687,0,15497606.37,55999.618,9551.904
01005,0,0,0,0,0,0
01015,0,128404,0,189375.46,0,726.54
01017,0,0,0,0,0,0
01019,0,134743,0,0,0,0
01021,0,349824,0,0,0,0
01023,193790.856,0,0,47595.583,43204.984,484.574
01025,74290.403,0,0,47675.266,0,18.36
01033,0,0,0,3721.977,3344509,21230.028
01037,0,299105,0,0,0,0
01039,0,14320,0,3192350.4,0,134.564
01047,270958.782,0,0,341412.218,0,0
01051,0,945825,0,0,0,0
01053,2327.63,0,0,39157.359,0,230923.314
01055,631.38,0,0,173398.33,48070.29,0
01063,0,0,0,92662.303,2002067.2,371.499
01065,40321,0,0,0,0,0
01069,0,0,14762977,0,0,750
01071,0,0,0,0,4433738.8,5644.215
01073,0,0,0,358140.311,17478661.25,0
01077,0,2157779,0,0,0,0
01079,285188.054,1104664,0,139858.029,47177.649,98.743
01081,0,297660,0,10880772,0,0
01083,0,0,26078235,0,0,0
01085,0,0,0,553511,0,0
01091,103259.291,0,0,1025.44,24346.403,10857.866
01095,0,666461,0,0,0,0
01097,190171.84,0,0,10803164.38,5213684.37,0
01099,72262.3,0,0,729.957,0,1331.743
01103,0,0,0,7230620,0,0
01111,0,69047,0,0,0,0
01113,591916.11,0,0,196614.883,0,0
01117,0,0,0,0,8104159.2,30873.798
01121,59028.382,198295,0,8183,24932.618,0
01123,0,0,0,5006624,0,0
01125,0,315032,0,0,0,0
01127,0,220465,0,0,3044654,8024.005
01129,0,0,0,908329.65,1862930.3,7581.007
01131,470869.85,299912,0,47381.401,1527.584,7524.164
02016,2565.372,24510,0,0,0,91497.628
02020,0,0,0,1116634.748,0,1250.253
02050,0,0,0,0,0,69336
02060,0,0,0,0,0,19051
02068,0,0,0,0,215310.15,113.846
02070,0,0,0,0,0,22198
02090,0,0,0,2683.523,469649.005,608536.811
02100,0,0,0,0,0,-37
02110,0,429207,0,0,0,5426
02122,0,474962,0,2367262.288,0,314.332
02130,0,182049,0,0,0,456
02150,16313,131121,0,0,0,5627
02164,0,0,0,0,0,65
02170,0,71126,0,0,0,3525
02180,0,0,0,0,0,44884
02185,0,0,0,122114.819,0,29938.181
02188,2955,0,0,0,0,25199
02195,0,13259,0,0,0,3697.54
02198,0,47720,0,0,0,2169
02220,0,113638,0,0,0,3585
02230,0,26544,0,0,0,566
02240,0,0,0,0,0,11431
02261,0,60909,0,0,0,57071
02270,0,0,0,0,0,7528
02275,0,0,0,0,0,434
02282,0,0,0,0,0,5882
02290,0,0,0,0,0,8489
04001,7939,0,0,0,15715694.1,24378.432
