County,Renewable,Hydro,Nuclear,Natural.Gas,Coal,Other
01001,413350.749,304889,0,4667395.846,52326.008,9236.397
01005,0,0,0,0,0,0
01015,0,267338,0,91992.521,0,15130.479
01017,0,1118,0,0,0,0
01019,0,289961,0,0,0,0
01021,0,764959,0,0,0,0
01023,213472.666,0,0,43485.148,60399.358,6994.828
01025,68224.237,0,0,50038.014,0,1015.652
01033,0,0,0,84.836,2917660.183,22458.981
01037,0,652892,0,0,0,0
01039,0,31477,0,2311157.243,0,296.757
01047,245721.554,0,0,74692.401,0,2313.107
01051,0,2273075,0,0,0,0
01053,2304.564,0,0,-28224.495,0,244263.494
01055,2049.822,0,0,42765.68,218328.65,185.848
01063,0,0,0,139023.171,2349928.164,2572.665
01069,0,0,13973577,0,0,732
01071,0,0,0,0,4677183.31,11018.69
01073,0,0,0,147444.494,20868453.49,0
01077,0,2969315,0,0,0,0
01079,366725.473,1555029,0,9498.267,0,10256.532
01081,0,660815,0,7254568,0,0
01083,0,0,25742627,0,0,0
01085,0,0,0,307752,0,0
01091,0,0,0,365.44,9906.076,190117.484
01095,0,771757,0,0,0,0
01097,245980.203,0,0,8007173.234,8057926.613,0
01099,821484.135,0,0,4567.582,0,17784.062
01103,0,0,0,7263183,0,0
01111,0,202307,0,0,0,0
01113,589981.927,0,0,195005.073,0,0
01117,0,0,0,0,8014846.764,18916.236
01121,80561.691,511909,0,5177,63931.309,0
01125,0,499218,0,0,0,0
01127,0,442277,0,0,5198072.952,9381.048
01129,0,0,0,846373,3014524.997,11622.003
01131,0,337037,0,194646.992,228881.993,19291.015
02016,6511.415,21121,0,0,0,78042.485
02020,0,0,0,1098914.148,0,501.852
02050,0,0,0,0,0,65169.76
02060,0,0,0,0,0,21116
02068,0,0,0,0,212943.563,136.437
02070,0,0,0,0,0,20635.58
02090,0,0,0,0,417648.085,724411.374
02100,0,0,0,0,0,-131
02110,0,338282,0,0,0,17321
02122,0,395555.41,0,2425932.432,0,565.468
02130,0,173549,0,0,0,12246
02150,6138,98551,0,0,0,20930
02164,0,0,0,0,0,359
02170,0,57056,0,0,0,4205
02180,0,0,0,0,0,45192
02185,0,0,0,52556.579,0,27232.421
02188,889,0,0,0,0,25793
02195,0,11761,0,0,0,3917.6
02198,0,24895,0,0,0,2077
02220,0,116523,0,0,0,3967
02230,0,26575,0,0,0,7663
02240,0,0,0,0,0,13492
02261,0,59876,0,0,0,37060.08
02270,0,0,0,0,0,7261
02290,0,0,0,0,0,8781
04001,6688,0,0,0,14021671.98,27600.017
04003,0,0,0,142574.873,1957025.127,-255
04005,0,3703866,0,0,16118197.81,22505.188
04012,0,77626,0,0,0,0
04013,18923,421148,30661851,28074283.27,0,-461.376
04015,0,2394185,0,3842485,0,0
04017,166185.971,0,0,7800.067,7474357.841,5664.443
04019,3690.804,0,0,618926.327,135564.542,5646.077
04021,529,0,0,1350787.885,0,102.115
04023,0,0,0,19946.723,0,1.277
04025,6304,0,0,0,0,284
04027,0,0,0,682365.466,0,3179.824
05001,17645,0,0,0,0,0
05003,406413.901,0,0,55967.936,0,13104.947
05005,0,229011,0,0,0,0
05007,0,0,0,0,2821627.303,6586.697
05011,69760,0,0,0,0,0
05015,0,186231,0,0,0,0
05019,0,179775,0,0,0,0
05021,0,0,0,0,0,863
05023,0,340252,0,0,0,0
05029,0,148268,0,0,0,0
05031,0,0,0,20261.171,0,303.829
05033,0,144691,0,0,0,0
05041,120552.762,445263,0,49086.811,0,562.078
05047,0,279597,0,61838,0,0
05051,0,337112,0,0,0,0
05055,0,0,0,1813,0,0
05057,0,0,0,22786,0,0
05059,0,27368,0,4617142,0,0
05063,0,27502,0,0,11377951.66,12137.337
05065,291,0,0,0,0,0
05069,327146.496,0,0,1372942.286,10786754.33,17436.168
05073,0,0,0,44526,0,0
05081,607279.988,0,0,98367.084,88917.013,16574.915
05089,0,883912,0,0,0,0
05093,0,0,0,337753,0,142
05103,0,0,0,95234.59,0,38969.41
05107,0,0,0,0,0,-133
05109,0,60946,0,0,0,0
05115,0,815427,15169966,0,0,0
05119,36460.975,164973,0,181935.345,0,19
05123,0,0,0,2288,0,-25
05137,0,22743,0,0,0,0
05139,0,0,0,4215142,0,0
05143,0,0,0,27671,0,0
05147,0,0,0,16659,0,5947
06001,828604.409,0,0,189122,0,11347.591
06005,0,980722,0,0,0,0
06007,120249,2664256,0,11290,0,0
06009,0,546637,0,0,0,0
06011,173291.888,0,0,386.112,0,0
06013,150012,0,0,15038274.98,0,777777.321
06017,0,1542622.1,0,0,0,0
06019,374041.866,3907250,0,1044468.134,0,0
06021,0,5600,0,0,0,0
06023,230273.577,0,0,537146.87,0,4517.735
06025,4038916,218657,0,571109.257,0,736.743
06027,1679763,204979,0,0,0,0
06029,2147087.411,321741,0,29779234.2,616824.53,298548.059
06031,0,0,0,116237.743,0,201607.257
06033,1212096,1309,0,0,0,0
06035,231274,32066,0,0,0,0
06037,1050140.093,1079543,0,19969464.17,0,295759.051
06039,51795,993930,0,52466,0,0
06043,0,218700.13,0,0,0,0
06045,0,31074,0,0,0,13480
06047,74925,-191554.2,0,0,0,0
06051,241249,192761,0,0,0,0
06053,41891.3,9858,0,5066397,0,0
06055,6710,0,0,0,0,0
06057,0,478318,0,0,0,0
06059,202852.075,35727,0,1288305.885,0,0
06061,303752.148,1570252,0,735438.852,0,679
06063,217611.98,1137496,0,0,0,0
06065,1927315.141,95242,0,3025281.4,0,2146.089
06067,66388,533021,0,5163474,0,0
06071,646303,1073858,0,11394420.37,1154719.399,4
06073,333767.252,38577.67,15498946,7002689.548,0,331
06075,0,0,0,648986,0,4318
06077,181977.644,37924,0,389936.725,278402.959,154687.892
06079,0,0,16264858,277088,0,0
06081,82622,0,0,207433,0,0
06083,30028,0,0,404329.13,0,0
06085,76600.024,0,0,4424257.371,0,1519.245
06087,18993,0,0,169119.87,0,165.13
06089,819648.911,5346278.63,0,65357.139,0,0
06091,55249,23389,0,0,0,0
06093,0,319053,0,0,0,0
06095,1464735.88,39665,0,415045.76,0,0
06097,5771303,9794,0,0,0,0
06099,1.433,20926,0,1966993.705,0,2081.862
06101,0,0,0,2968427,0,0
06103,0,86010,0,44544,0,0
06105,0,257385,0,0,0,0
06107,57764,105495,0,15915.2,0,0
06109,163348.629,3066679,0,0,0,0
06111,30470.219,774,0,1549767.541,0,0
06113,180305.587,0,0,1878.413,0,0
06115,10806,1004870,0,0,0,0
08001,38701.18,0,0,619816.514,3122482.472,1377.014
08003,17455,0,0,911.918,0,169.082
08005,17463,0,0,0,0,0
08009,0,0,0,0,0,11.76
08011,256708,0,0,0,0,2
08013,0,42877,0,14397.88,1105633.455,7.525
08015,0,2197,0,0,0,0
08019,0,-74883,0,0,0,0
08029,0,0,0,318.63,0,47.37
08031,3255,5151,0,308309.032,778555.228,9.74
08035,0,5974,0,0,0,0
08037,0,0,0,14122.78,0,4.9
08041,6.726,82936,0,2328271.487,3424770.476,1233.311
08043,381.098,0,0,0,254338.902,0
08045,2511,72912,0,4552,0,0
08049,0,11788,0,0,0,0
08051,0,296398,0,0,0,0
08059,2256,26728,0,246685.783,181879.858,158.311
08063,0,0,0,0,0,3827
08065,0,-21914,0,0,0,0
08067,0,32846,0,0,0,0
08069,108,542572,0,29648,2352401.473,141.527
08071,0,0,0,3.353,0,34.647
08073,0,0,0,15238.532,0,694.468
08075,1523373,0,0,0,0,0
08077,0,53086,0,15046.188,371789.703,73.109
08081,0,0,0,9465.206,9415437.215,512.579
08083,0,20001,0,0,0,0
08085,0,546651,0,0,644841.719,2701.281
08087,0,0,0,590988.178,2090612.822,0
08089,0,0,0,-0.5,0,1382.5
08093,0,7974,0,0,0,0
08097,0,19511,0,0,0,0
08099,257980.95,0,0,0,32387,2
08101,0,0,0,71314.636,4635432.364,-406
08103,0,12276,0,0,0,0
08107,0,0,0,2730.846,3225460.162,1468.992
08109,0,0,0,0,0,0
08113,0,12730,0,0,0,0
08115,0,0,0,0,0,0
08117,0,79255,0,0,0,0
08123,965459,0,0,9568205,0,0
09001,0,143620,0,2643725,994939.512,54071.488
09003,14780,56949.75,0,562261.904,0,4288.266
09005,15925,120642.36,0,0,0,1072
09007,0,0,0,90279.147,0,61711.853
09009,621.855,154129.48,0,3711461.732,0,136463.39
09011,0,21083,16657382,137971.084,1458557.951,48390.435
09015,0,18506,0,2663652.222,0,134795.15
10001,17475,0,0,36851.867,73959,4083.133
10003,84936.355,0,0,1566340.693,441241.684,232649.268
10005,23200,0,0,345.392,2332970.197,27510.272
11001,0,0,0,0,0,35499
12001,0,0,0,752771.06,1286124.797,6401.143
12005,204175.443,0,0,3739066.463,1468494.743,13412.049
12009,0,0,0,1899334.735,0,437689.265
12011,59272,0,0,6337252.849,0,903209.151
12017,0,0,5387737,0,11089602.53,48221.467
12027,9470,0,0,144.279,0,7630.721
12031,76789.68,0,0,2645169.007,10365874.06,2976219.191
12033,365203.476,0,0,420525.05,3302911.693,6137.683
12039,0,187512,0,0,0,0
12047,0,0,0,0,0,105444
12049,0,0,0,3715479.683,0,20016.317
12051,203156.828,0,0,0,0,2192.172
12053,0,0,0,0,721972.895,2408.105
12055,0,0,0,23336.377,0,29321.623
12057,12885.04,0,0,8472109.052,8273354.515,303812.433
12061,0,0,0,56898.077,0,59.923
12063,27756,0,0,0,3934.984,-2189.984
12065,4486,0,0,0,0,0
12069,0,0,0,499079.818,0,984.182
12071,0,0,0,9331358.101,0,9785.667
12073,0,20690,0,1320637.486,0,5270.514
12077,21749,0,0,0,0,0
12081,0,0,0,9176788.267,0,1049702.733
12083,21112,0,0,0,0,0
12085,0,0,0,14288512.87,1469256.758,1539024.371
12086,27498.8,0,10675382,7170086.522,0,694670.845
12087,0,0,0,0,0,8671
12089,626695.782,0,0,0,200043.215,18939.597
12095,84404.139,0,0,3460856.58,5882973.107,16455.174
12097,0,0,0,1811618.71,0,53969.29
12099,330745.015,0,0,3282553.072,0,42159.794
12101,0,0,0,2057318.145,0,798609.855
12103,0,0,0,3903626.791,0,277093.209
12105,162693.61,0,0,18159021.97,2872988.289,79348.335
12107,260359.01,0,0,1305431.539,7065540.17,59032.757
12111,0,0,13054758,1594879,0,0
12113,0,0,0,224160,0,0
12121,0,0,0,289763.109,0,15143.891
12123,272242.706,0,0,2118.653,0,35953.825
12127,15892,0,0,11098869.05,0,54664.951
12129,0,0,0,1290328.34,0,-12.34
13001,0,0,12396655,0,0,0
13009,0,137910,0,0,0,0
13015,0,151634,0,0,21528806.96,9498.041
13021,6643.812,0,0,259239.434,831.504,136
13033,0,0,19285924,0,0,1219
13039,0,0,0,0,0,2845.92
13051,706413.128,0,0,96504.91,1095741.094,5712.333
13059,0,0,0,0,0,14.7
13061,0,488980,0,0,0,0
13067,0,0,0,3728.883,2066954.196,1941.901
13071,0,0,0,2,0,0
13073,0,56109,0,0,0,0
13077,0,0,0,220390.713,4304454.384,5345.903
13087,0,0,0,0,0,131
13089,20982,0,0,0,0,20
13095,0,30680,0,0,22178.64,-1091.64
13099,215534.498,0,0,60542.813,179565.996,30555.693
13103,3068.196,0,0,9590567.775,58586.315,485806.97
13105,0,492422,0,0,0,0
13111,0,39990,0,0,0,0
13113,9,0,0,0,0,0
13115,300244.258,-440390,0,24894.896,3471747.596,19794.987
13117,0,133740,0,0,0,0
13121,0,26934,0,0,0,278.82
13125,0,0,0,0,0,283.22
13127,416897.086,0,0,34153.835,0,28367.759
13135,11556,0,0,0,0,0
13137,0,332384,0,0,0,0
13141,0,27169,0,0,0,0
13147,0,300234,0,71822.241,0,1469.759
13149,0,0,0,7159543,7225960.261,6577.739
13153,0,0,0,30289.669,0,7031.331
13157,0,0,0,191107.334,0,3935.666
13159,0,77315,0,0,0,0
13163,0,0,0,5379,0,242
13175,27957.9,0,0,11788.312,82559.694,22838.282
13179,98244.966,0,0,4236.365,0,3051.798
13185,0,0,0,0,0,0
13193,208593.758,0,0,0,0,3607.242
13205,0,0,0,110878,0,0
13207,0,0,0,22439,22971057.08,6922.92
13211,0,1316,0,0,0,0
13213,0,1039457,0,2196014,0,0
13215,0,362688,0,0,0,0
13219,0,27,0,0,0,0
13233,0,0,0,133194,0,0
13237,0,0,0,0,6424339.176,8687.824
13241,0,96737,0,0,0,0
13245,322352.226,6149,0,30414.123,45363.815,5930.836
13247,0,2186.91,0,0,0,0
13257,0,59392,0,0,0,0
13263,0,0,0,53669.278,0,887.722
13269,13567,0,0,0,0,0
13285,0,35212,0,0,0,0
13291,0,32183,0,0,0,0
13293,0,0,0,13159,0,0
13297,0,0,0,110072,0,0
13301,0,0,0,0,0,230
13303,0,0,0,60816,0,201.88
13305,473105.827,0,0,10792.034,0,12535.948
13321,0,41212,0,110.651,49.349,0
15001,309358,59341,0,0,0,821659.37
15003,3276.779,0,0,22344.83,1440062.722,6204177.698
15007,10375.981,35389.63,0,0,0,417920.889
15009,201756.427,17918,0,0,60103.18,1085301.037
16001,0,477373.13,0,0,0,0
16003,38617,0,0,0,0,0
16005,0,4735,0,0,0,0
16009,36996,0,0,0,0,0
16013,0,20985,0,0,0,0
16015,0,43451,0,0,0,0
16017,0,1266717,0,0,0,0
16019,153791,910182,0,0,0,0
16021,0,77470,0,0,0,0
16023,0,11809,0,0,0,0
16027,0,0,0,0,42325.95,0
16029,0,74940,0,0,0,0
16031,75950,162666,0,0,0,0
16033,0,11259,0,0,0,0
16035,0,1847527,0,0,0,0
16039,84410,123068,0,284580,0,0
16041,0,43267,0,0,0,0
16043,0,108168,0,0,0,0
16045,0,62002,0,0,0,0
16047,0,896227,0,0,0,0
16049,0,3544.2,0,0,0,0
16053,0,204002.64,0,0,0,0
16055,0,84350,0,1235343,0,0
16059,0,0,0,0,0,41
16063,0,20198.04,0,0,0,0
16067,0,123906,0,74397,0,0
16069,402335.276,0,0,47401.724,0,0
16073,0,479830,0,0,0,0
16077,0,384852,0,0,0,72371
16081,0,60508,0,0,0,0
16083,75217,479551.85,0,1873.209,40238.829,0
16085,0,44848,0,0,0,0
16087,0,2406827,0,0,0,0
17011,353837,0,0,257.79,0,160.21
17019,0,0,0,224096.19,50427.29,447.428
17021,21318,0,0,6015.964,6843562.036,0
17023,0,0,0,0,0,267
17025,0,0,0,281,0,127
17027,0,0,0,0,0,657
17031,116820,0,0,371621.617,4292672.31,18338.75
17033,0,0,0,0,537923.293,3313.707
17037,14622.3,0,0,0,0,0
17039,0,0,8887914,43.967,0,121.653
17041,0,0,0,1091.108,44710.207,0
17043,495545,53734,18808748,71485.423,0,82.147
17049,0,0,0,0,0,84
17051,0,0,0,557,0,0
17053,0,0,0,6377.5,0,-560.5
17057,0,0,0,0,1915092.284,9229.716
17063,18154,0,14267413,485316,0,0
17065,0,0,0,0,0,141
17073,0,0,0,-355.198,0,-82.802
17077,0,0,0,77163,0,0
17079,0,0,0,0,7976947.332,6748.668
17089,55746,0,0,37904.842,0,89.178
17091,12742,961,0,49278.64,0,0
17093,44.095,0,0,1920036.345,0,0
17095,0,0,0,0,0,0
17097,96520,0,0,127836.491,4155872.096,380.413
17103,311964,8834,0,16496,0,0
17109,0,0,0,0,0,61
17111,0,0,0,225.4,0,0
17113,1150424,0,0,0,0,-329
17115,461.084,0,0,1106.59,1493718.685,10143.641
17119,29715,0,0,37653.844,3422978.156,179
17121,0,0,0,-471,0,-839
17125,0,0,0,201.933,2017562.413,4741.654
17127,0,0,0,-1809.242,7088291.242,0
17133,0,0,0,128.199,0,161.801
17135,0,0,0,0,4192342.071,25881.929
17137,0,0,0,-202.201,522668.263,471.938
17139,0,0,0,0,0,118
17141,1735,0,19718273,176.163,0,-16.163
17143,0,0,0,213952.478,4898006.802,4971.72
17145,0,0,0,63816,0,0
17147,0,0,0,36087,0,0
17149,3278.88,0,0,0,42318.87,317.13
