County,Renewable,Hydro,Nuclear,Natural.Gas,Coal,Other
01001,454444.75,195134,0,14275871.34,28608.483,2789.422
01015,0,154855,0,190430.25,0,4694.746
01017,0,0,0,0,0,0
01019,0,164092,0,0,0,0
01021,0,404623,0,0,0,0
01023,131710.316,0,0,59390.637,27318.242,956.806
01025,77001.403,0,0,47166.27,0,144.124
01033,0,0,0,1938.108,739246.85,3148.042
01037,0,372569,0,0,0,0
01039,0,19831,0,3816551.1,0,54.844
01047,231652.913,0,0,345316.392,0,0
01049,27140,0,0,0,0,0
01051,0,1359787,0,0,0,0
01053,120595.629,0,0,98627.437,0,7354.921
01055,0,0,0,190978,0,0
01063,0,0,0,783956.79,525671.21,5.999
01065,39791,0,0,0,0,0
01069,0,0,13687256,0,0,695
01073,0,0,0,304059.15,17915695,0
01077,31261,1809161,0,0,0,0
01079,0,1014935,0,0,0,0
01081,0,478142,0,11690129,0,0
01083,0,0,26214623,0,0,0
01085,0,0,0,477109,0,0
01091,196361.141,0,0,16025.164,16208.915,264.662
01095,0,506256,0,0,0,0
01097,226530.17,0,0,11532146.77,4278313.1,0
01099,703875.29,0,0,44191.484,0,1837.264
01103,10970,0,0,6715731,0,0
01111,0,114934,0,0,0,0
01113,593260.78,0,0,183995.225,0,0
01117,0,0,0,505818.5,3774469.5,132
01121,95851.537,266305,0,85173.463,0,0
01123,0,0,0,5387101,0,0
01125,0,129000,0,0,0,0
01127,0,233853,0,0,5481975.9,12465.085
01129,0,0,0,1027471.48,1470743.5,9953.976
01131,426060.86,239468,0,48493.914,154.753,1335.476
02013,0,2090,0,0,0,1824
02016,501.78,0,0,0,0,95499.22
02020,98536.846,0,0,2324937.43,0,139.724
02050,0,0,0,0,0,65131
02060,0,0,0,0,0,22066
02068,73845,0,0,0,189596.124,2878.877
02070,0,0,0,0,0,22452
02090,0,0,0,1129.934,404542.809,427604.225
02100,0,0,0,0,0,-201
02105,0,27569,0,0,0,5318
02110,0,418626,0,0,0,366
02122,0,517175,0,585622,0,192
02130,0,200656,0,0,0,3035
02150,29309,124484,0,0,0,0
02164,0,3100,0,0,0,77
02170,0,76916,0,0,0,0
02180,1688,0,0,0,0,46262
02185,0,0,0,128797.939,0,28663.061
02188,3991,0,0,0,0,28657
02220,0,105001,0,0,0,1099
02240,4446,0,0,0,0,10427.8
02261,0,75013,0,0,0,38678
02270,0,0,0,0,0,12840
02275,0,108522,0,0,0,2293.74
02282,0,0,0,0,0,5794
02290,0,0,0,0,0,10233
04001,17309,0,0,0,9116826.8,20736.913
04003,294299,0,0,159416.61,1909362.4,84
04005,222162,4016225,0,0,12032140,26421.819
04007,54194,0,0,0,0,0
04012,0,75735,0,0,0,0
04013,1909226.31,196964,32377477,28959311.48,0,-62.484
04015,62734,2937469,0,2244004,0,0
04017,404836.7,0,0,634.007,2427927.4,4043.849
04019,333172,0,0,874689.78,0,0
04021,143506,0,0,1572566.144,0,26.496
04023,11951,0,0,606.504,0,13.496
04025,112168,0,0,0,0,0
04027,928061,0,0,371579.44,0,330.56
05001,43440,0,0,0,0,0
05003,344277.657,0,0,157966.75,0,3355.464
05005,0,233281,0,0,0,0
05007,0,0,0,0,2035318.6,6015.387
05011,0,0,0,0,0,0
05013,24542,0,0,0,0,0
05015,0,164928,0,0,0,0
05019,0,106751,0,0,0,0
05021,0,0,0,0,0,0
05023,0,198122,0,0,0,0
05029,0,169672,0,0,0,0
05031,0,0,0,67718.107,0,4.893
05033,0,138536,0,0,0,0
05041,68898.877,378865,0,30303.123,0,0
05047,0,103533,0,255902,0,0
05051,0,293848,0,0,0,0
05055,0,0,0,395,0,0
05057,0,0,0,57338.405,3739512.6,0
05059,0,42767,0,5343391,0,0
05063,0,21971,0,0,7694609.4,9629.583
05065,2289.2,0,0,0,0,0
05069,392966.843,0,0,1233896.521,5684733.4,13385.289
05081,448688.294,0,0,69778.689,49894.886,5056.132
05089,0,875676,0,0,0,0
05093,0,0,0,734280.13,4596001.6,10553.271
05103,0,0,0,61314,0,0
05109,0,46537,0,0,0,0
05115,0,664117,13421022,0,0,0
05119,38430.02,147872,0,520419.28,0,0
05137,0,22334,0,0,0,0
05139,0,0,0,9459445,0,0
05143,32437,0,0,162820,0,0
05147,0,0,0,16219,0,0
06001,489479.696,0,0,1093598.003,0,5843.821
06005,15885.248,957287,0,1528.752,0,0
06007,32434,2986250,0,7532,0,0
06009,0,585359,0,0,0,0
06011,196173.66,0,0,2909657.337,0,0
06013,415797,0,0,13192005.11,0,126864.966
06017,0,1999339,0,12618,0,0
06019,992277.37,3260048,0,1028022.631,0,0
06021,3296,8729,0,0,0,0
06023,141185.818,4085,0,369582.922,0,1843.265
06025,6987709.06,255037,0,1129431.722,0,335.206
06027,1226116,140626,0,0,0,0
06029,11656349.02,323206,0,21224736.83,0,0
06031,955704,0,0,58156,0,0
06033,800131,1910,0,0,0,0
06035,115447.8,88172,0,36912.197,0,0
06037,2308841.948,914871,0,18891606.39,0,80225.401
06039,110826.074,1053232,0,23294.926,0,0
06041,828,0,0,0,0,0
06043,0,168367,0,0,0,0
06045,0,16337,0,0,0,0
06047,422736.594,-355077,0,0,0,83.406
06051,217724,136345,0,0,0,0
06053,44963.652,0,0,3659074.348,0,0
06055,1.818,0,0,1.182,0,0
06057,0,371665,0,0,0,0
06059,494738.106,25943,0,1053542.904,0,0
06061,276519.27,1722044,0,392052.611,0,226.121
06063,120200,1315034,0,0,0,0
06065,5078460.321,77408,0,1963551.616,0,43.075
06067,418852.968,647919,0,5714773.027,0,1
06069,7401,0,0,0,0,0
06071,2973612.76,1390124,0,8913407.086,1405.285,8
06073,504894.829,26706.49,0,6999648.863,0,346.718
06075,9602,0,0,85081.367,0,72.633
06077,427672.342,16549,0,966592.361,0,11.819
06079,1962146,1062,18907578,16039,0,0
06081,90696.297,0,0,38281.703,0,0
06083,41761,0,0,3939,0,0
06085,34603.81,0,0,4330126.973,0,299.417
06087,28775,0,0,23399,0,0
06089,1033253.68,5512035,0,313411.653,0,0
06091,0,29664,0,0,0,0
06093,66013,320566,0,0,0,0
06095,2597463,34959,0,358777.996,0,0
06097,5619500.26,8952,0,6218.74,0,0
06099,95551,24779,0,1809334.542,0,2445.459
06101,0,0,0,354290,0,0
06103,1985,52176,0,25241,0,0
06105,0,314553,0,0,0,0
06107,495573.81,87617,0,31948.08,0,0
06109,143224,3072971,0,0,0,0
06111,18343.836,1167,0,1394956.434,0,0.73
06113,251026.3,0,0,512.704,0,0
06115,24409,1084756,0,0,0,0
08001,10592,0,0,2916923.463,1914120.1,415.431
08003,315447,0,0,3966.895,0,105.105
08005,22276,0,0,0,0,0
08009,0,0,0,0,0,0
08011,262259,0,0,0,0,-89
08013,777,35277,0,12118.403,1000513.6,0
08015,0,2116,0,0,0,0
08019,0,-175589,0,0,0,0
08031,46085,7518,0,59277,0,0
08035,0,9513,0,0,0,0
08037,85822,22690,0,19520,0,15
08041,873596,85636,0,2429132.674,2235568.8,3268.571
08045,7606,83045,0,1804,0,0
08049,0,16631,0,0,0,0
08051,0,252915,0,0,0,0
08055,145422,0,0,0,0,0
08059,7122,16857,0,175088.08,21392.857,0
08063,764992,0,0,0,0,1533
08065,0,-75122,0,0,0,0
08067,0,27005,0,0,0,0
08069,21008,564286,0,40168,2217699,730.97
08071,4287,0,0,0.7,0,37.3
08073,2759862,0,0,51149.25,0,50.75
08075,2514410.7,0,0,0,0,0
08077,3330.36,59817,0,236.529,0,21.471
08081,0,0,0,29285.265,8295737.4,410.29
08083,0,22917,0,0,0,0
08085,1862,531232,0,0,222062.55,663.453
08087,0,0,0,117937.709,2704147.3,0
08089,0,0,0,0,0,-1147
08091,0,23418,0,0,0,0
08093,0,7092,0,0,0,0
08099,516395,0,0,0,0,0
08101,89769,0,0,1515430.08,8928928.9,-242
08103,0,10837,0,0,0,0
08107,0,0,0,1813.532,2408504.5,1144.961
08109,0,0,0,0,0,0
08113,0,6972,0,0,0,0
08115,0,0,0,0,0,0
08117,0,73322,0,0,0,0
08123,1668698,0,0,5305587.797,0,56.203
09001,2569,62063,0,3837531,177370.48,7149.524
09003,10366,21346,0,406237.258,0,3451.007
09005,21686,51835,0,237297,0,327
09007,0,0,0,4240256.494,0,44089.528
09009,0,74506,0,3499170.428,0,14847.572
09011,6608,11598.9,16575492,335321.204,0,19507.637
09013,12842.03,0,0,115867.724,0,2362.273
09015,238295.999,8383,0,5279822.32,0,0
10001,67611,0,0,1866774.958,0,41248.049
10003,19267.55,0,0,6198170.89,0,23467.138
10005,37515,0,0,0,479349.83,-2143.826
11001,52771.377,0,0,22702.026,0,1000.597
12001,40375.326,0,0,1503346.496,419943.44,393.746
12005,197164.241,0,0,3489956.833,65537.474,8018.461
12009,18300,0,0,6872290.058,0,2420.975
12011,41752,0,0,8991997.707,0,88429.239
12015,14168,0,0,0,0,0
12017,0,0,0,0,8850365.5,35106.472
12021,17300,0,0,0,0,0
12027,48650,0,0,0,0,0
12031,61267,0,0,5087023.197,6221898.399,2069735.178
12033,426331.103,0,0,732334.874,2585444.558,4372.607
12039,0,153732,0,0,0,0
12047,0,0,0,3447.155,0,52552.845
12049,0,0,0,5574571.76,0,1270.209
12051,240393.28,0,0,0,0,1286.725
12053,334718.96,0,0,0,0,1972.039
12055,0,0,0,4948.631,0,191.369
12057,7681.16,0,0,8792087.85,6402196.1,271515
12061,1764.866,0,0,12900.564,0,0
12063,28573,0,0,0,0,0
12069,0,0,0,26424.052,0,0
12071,0,0,0,9311348.68,0,59691.309
12073,0,20819,0,1658537.74,0,125.256
12077,102074,0,0,0,0,0
12081,13056,0,0,8419567.3,0,151415.7
12083,22559,0,0,0,0,0
12085,75301,0,0,10687757.09,635824.43,131047.409
12086,30420.449,0,13733460,6661014.259,0,132143.267
12087,0,0,0,0,0,1205
12089,645217.249,0,0,134922.161,162449.03,12772.499
12095,97638.339,0,0,5039711.67,3894135.5,0
12097,3254,0,0,4083545.163,0,16101.835
12099,123554.935,0,0,26562412.3,0,38949.23
12101,0,0,0,4691512.917,0,0
12103,3,0,0,6662955.772,0,3367.355
12105,183933.241,0,0,20001262.39,1494414.73,27477.427
12107,237410.909,0,0,114615.09,7555880.1,19456.868
12111,0,0,15586562,1774247.92,0,10.086
12113,0,0,0,1547988.18,0,0
12115,34828,0,0,0,0,0
12117,502,0,0,0,0,0
12121,0,0,0,470852.709,0,4272.291
12123,303300.531,0,0,27185.579,0,6194.645
12127,390,0,0,8620872.76,0,20559.24
12129,0,0,0,902800.02,0,1390.986
13001,0,0,14620433,0,0,0
13009,0,86885,0,0,0,0
13013,12117,0,0,0,0,0
13015,0,0,0,0,15813244,17982.436
13021,456177.191,0,0,11604.472,0,543.136
13033,68895,0,19860229,0,0,27
13039,3640,0,0,0,0,1496
13043,5929,0,0,0,0,0
13051,750499.656,0,0,175680.957,41256.407,1208.613
13053,60690,0,0,0,0,0
13059,8131,4730,0,0,0,0
13061,0,352098,0,0,0,0
13067,0,0,0,17314980,0,4578.356
13073,0,57309,0,0,0,0
13077,0,0,0,511629,0,0
13087,245287,0,0,0,0,737
13089,1582,0,0,0,0,13
13095,10588.791,21209,0,1773.209,-1412.945,-136.055
13099,449330.54,0,0,39370,87133.355,9626.105
13103,5679.124,0,0,10699136.43,47945.428,117016.023
13105,0,310354,0,0,0,0
13111,0,27710,0,0,0,0
13115,336160.85,-489099,0,12272.706,1008922.432,21232.573
13117,0,198677,0,0,0,0
13121,23600.133,23582,0,19826.867,0,178.36
13125,0,0,0,0,0,0
13127,448953.699,0,0,17072.431,0,11059.983
13135,29435,0,0,0,0,0
13137,0,195800,0,0,0,0
13141,0,-49295,0,0,0,0
13147,0,437210,0,39901.489,0,81.511
13149,0,0,0,13840654.86,4655583.7,8271.438
13153,0,0,0,486904.621,0,5221.382
13157,0,0,0,589646.92,0,8854.08
13159,0,51398,0,0,0,0
13161,42674,0,0,0,0,0
13163,1559,0,0,2570,0,0
13165,5788,0,0,0,0,0
13171,429181.997,0,0,0,0,0
13173,4768,0,0,0,0,0
13175,106242.767,0,0,13474.671,1423.106,78814.016
13179,119886.887,0,0,4578.993,0,213.12
13185,323204.28,0,0,15865.06,0,344.385
13193,163944.151,0,0,4505.479,0,637.367
13199,4881,0,0,0,0,0
13205,31670,0,0,191182.846,0,20.154
13207,0,0,0,195729,16230691,9564.482
13211,0,870,0,0,0,0
13213,11071,69706,0,6401308,0,0
13215,3218,258203,0,0,0,0
13233,0,0,0,466134,0,0
13237,1095,0,0,0,0,0
13241,96841,59920,0,0,0,0
13245,322101.224,15551,0,62533.842,4963.133,966.425
13247,0,1752,0,0,0,0
13253,3098,0,0,0,0,0
13255,17833,0,0,0,0,0
13257,0,36622,0,0,0,0
13263,0,0,0,676169.94,0,115.058
13269,259963,0,0,0,0,0
13285,0,160155,0,0,0,0
13289,64958,0,0,0,0,0
13291,0,32493,0,0,0,0
13293,1452,0,0,396844.44,0,6745.565
13297,66904,0,0,503564.992,0,261.008
13303,14279,0,0,135903,0,3
13305,441029.57,0,0,30921.797,0,7223.926
13321,0,37671,0,724.654,725.346,0
15001,390991,53129,0,0,0,681657
15003,300839.92,0,0,51006.009,1491853.75,4961682.732
15007,107526,34765,0,0,0,294857.001
15009,342952.842,2955,0,0,5525.764,890415.062
16001,48269,478839,0,0,0,0
16003,26306,0,0,0,0,0
16005,10884,4729,0,0,0,0
16009,33199,0,0,0,0,0
16013,0,20744,0,0,0,0
16015,0,46502,0,0,0,0
16017,0,1284375,0,0,0,0
16019,937942,826652,0,0,0,0
