County,Renewable,Hydro,Nuclear,Natural.Gas,Coal,Other
01001,408641.979,243166,0,3664391.305,53855.474,11477.241
01005,137.74,0,0,0,0,0
01015,0,116297,0,220976.994,0,13572.006
01017,0,1258,0,0,0,0
01019,0,118818,0,0,0,0
01021,0,368984,0,1585,0,0
01023,209237.908,0,0,21411.321,52255.508,5469.263
01025,69502.378,0,0,54008.862,0,392.429
01033,0,0,0,831.681,7623276.396,35807.923
01037,0,315463,0,0,0,0
01039,0,22678,0,1114766,0,0
01047,257876.299,0,0,103078.426,0,2338.96
01051,0,932005,0,0,0,0
01053,261449.585,0,0,11301.376,0,6017.411
01055,3881.782,0,0,6203.577,589212.641,0
01063,0,0,0,147356.926,3340054.968,3825.106
01069,0,0,14073225,0,0,678
01071,0,0,0,0,9208136.459,15460.541
01073,0,0,0,208535.369,21451731.06,0
01077,0,1534356,0,0,0,0
01079,391146.288,771249,0,24979.491,0,9342.25
01081,0,286869,0,5118654,0,0
01083,0,0,24919416,0,0,0
01085,0,0,0,493488,0,0
01091,183287.756,0,0,3609.191,10820.971,1991.081
01095,0,505117,0,0,0,0
01097,163096.857,0,0,6054392.863,9623771.06,0
01099,740332.921,0,0,3669.029,0,15918.01
01103,0,0,0,3798517,0,0
01111,0,79771,0,0,0,0
01113,607794.31,0,0,58968.488,0,259.201
01117,0,0,0,0,11388888.6,22471.404
01121,60927.59,216590,0,7829,56594.41,0
01125,0,204361,0,0,0,0
01127,0,124744,0,0,7784890.654,11336.346
01129,0,0,0,892168,3561351.663,9902.337
01131,0,294422,0,415743.782,0,46227.739
02016,4681.698,2449,0,0,0,79798.302
02020,0,0,0,1222504.055,0,192.945
02050,0,0,0,0,0,57830.94
02060,0,0,0,0,0,22129
02068,0,0,0,0,220360.301,214.699
02070,0,0,0,0,0,21118
02090,0,0,0,0,397536.527,521903.275
02100,0,0,0,0,0,-114
02110,0,279888,0,0,0,45785
02122,0,303422,0,2732173.372,0,25.268
02130,0,168260,0,0,0,16447.62
02150,0,120879,0,0,0,21035
02164,0,0,0,0,0,277
02170,0,57824,0,0,0,4244
02180,0,0,0,0,0,41655
02185,0,0,0,47794.744,0,30196.656
02188,68,0,0,0,0,21554
02195,0,13176,0,0,0,4014
02198,0,21660,0,0,0,4369
02220,0,116878,0,0,0,4901
02230,0,25266,0,0,0,3548
02240,0,0,0,0,0,13239
02261,0,62099,0,0,0,42972
02290,0,0,0,0,0,2621
04001,6707,0,0,0,15125636.16,26006.837
04003,0,0,0,81161.573,2698765.119,506.308
04005,0,3897708,0,0,17506628.56,16387.676
04012,0,83156,0,0,0,0
04013,19864,228996,29250496,31411719.47,0,-219.469
04015,0,3170572,0,4428884,0,0
04017,75947.479,0,0,14183.53,7734396.999,7135.195
04019,3978.385,0,0,365762.753,774833.305,86.527
04021,774,0,0,1811022.386,0,7.614
04023,0,0,0,15507.465,0,408.535
04025,6387,0,0,0,0,303
04027,0,0,0,694188.015,0,1274.955
05001,6092,0,0,0,0,0
05003,447726.023,0,0,62437.604,0,9819.623
05005,0,285970,0,0,0,0
05007,0,0,0,0,3599914.264,3381.736
05011,71634,0,0,0,0,0
05015,0,264750,0,0,0,0
05019,0,115919,0,0,0,0
05021,0,0,0,0,0,6
05023,0,341409,0,0,0,0
05029,0,104025,0,0,0,0
05031,0,0,0,19297.057,0,82.943
05033,0,112133,0,0,0,0
05041,218.945,381670,0,164378.772,0,1047.283
05047,0,305377,0,35058.933,0,40.067
05051,0,264165,0,0,0,0
05055,0,0,0,1050,0,0
05057,0,0,0,40734,0,0
05059,0,47130,0,3473422,0,0
05063,0,0,0,0,11294391.6,8109.4
05065,6790,0,0,0,0,0
05069,331258.674,0,0,1317058.971,11098951.34,13399.155
05073,0,0,0,22694,0,0
05081,610484.004,0,0,58947.845,121396.852,17945.303
05089,0,1547396,0,0,0,0
05093,0,0,0,226967,0,35
05103,0,0,0,170851.209,0,32079.791
05107,0,0,0,0,0,-74
05109,0,52942,0,0,0,0
05115,0,744491,14168091,0,0,0
05119,38629.068,140477,0,231686.372,0,19
05123,0,0,0,0,0,-89
05139,0,0,0,2546418,0,0
05143,0,0,0,72765,0,0
05147,0,0,0,17306.708,0,220.292
06001,834652.847,0,0,207152,0,9252.153
06005,0,724319,0,0,0,0
06007,124000,2066759,0,11018,0,0
06009,0,340168,0,0,0,0
06011,130572.075,0,0,537.925,0,0
06013,138805,0,0,12233763.53,0,877470.89
06017,0,965205,0,0,0,0
06019,312470.519,2798834,0,897269.481,0,0
06021,0,10097,0,0,0,0
06023,195222.799,0,0,508243.834,0,4363.367
06025,3894740,261018,0,586710.323,0,165.677
06027,1682957,199565,0,0,0,0
06029,2051156,245024,0,30305066.16,613844.773,384010.229
06031,0,0,0,93732.232,0,202486.768
06033,1320541,5067,0,0,0,0
06035,254965,42392,0,0,0,0
06037,1048119.054,1074634.44,0,21591236.6,0,231734.404
06039,20554,662122,0,58317,0,0
06043,0,183783,0,0,0,0
06045,0,38142,0,0,0,14788
06047,36585,195775.18,0,8452,0,0
06051,238647,179962,0,0,0,0
06053,47520,14316,0,7833454,0,0
06055,7403,0,0,0,0,0
06057,0,364948,0,0,0,0
06059,200368.647,46573,0,1680908.093,0,0
06061,276116.819,1098774,0,708353.181,0,441
06063,239307.592,1092818,0,0,0,0
06065,1667043.43,109045,0,1980707.603,0,2189.509
06067,65950,294377,0,5993587,0,0
06071,693363,1272606,0,13573474.9,1114758.426,12
06073,333689.06,50258,15391824,7077778.348,0,557.392
06075,0,0,0,540814,0,21559
06077,184224.429,29899,0,464041.4,551797.3,145600.594
06079,0,0,17090527,107328,0,0
06081,10482,0,0,211932.839,0,2.161
06083,22580,0,0,394382.03,0,0
06085,79755.25,0,0,5173635.562,0,235.188
06087,20555,0,0,182652.583,0,322.417
06089,856400.745,5603658,0,224744.485,0,0
06091,78395,24552,0,0,0,0
06093,0,368223,0,0,0,0
06095,1281978.75,39664,0,461531.7,0,0
06097,5788290,14020,0,0,0,0
06099,0,20832,0,2068049.401,0,7505.599
06101,0,0,0,3545308,0,0
06103,0,91686,0,50441,0,0
06105,0,407152,0,0,0,0
06107,45701,104549,0,548.8,0,0
06109,159105.91,2670802,0,0,0,0
06111,31184.553,2102,0,2327431.927,0,0
06113,183893.701,0,0,1186.299,0,0
06115,0,735352,0,0,0,0
08001,36752.94,0,0,536249.888,4460843.407,1740.705
08003,17531,0,0,618.945,0,173.055
08005,8366,0,0,0,0,0
08009,0,0,0,0,0,0
08011,265378,0,0,0,0,0
08013,0,38514,0,45739.146,1182599.371,0.473
08015,0,3978,0,0,0,0
08019,0,-130854,0,0,0,0
08029,0,0,0,357.889,0,32.151
08031,653,5042,0,268261.578,875711.422,0
08035,0,7799,0,0,0,0
08037,0,0,0,19198.2,0,4.9
08041,0,83544,0,2552361.334,3469681.364,971.301
08043,134.983,0,0,0,266748.017,0
08045,0,35330,0,9762,0,0
08049,0,14306,0,0,0,0
08051,0,339904,0,0,0,0
08059,170,17329,0,339199.752,187984.383,384.237
08063,0,0,0,0,0,6187
08065,0,-108912,0,0,0,0
08067,0,44401,0,0,0,0
08069,0,527397,0,151428,2008670.968,1796.032
08071,0,0,0,-78.305,0,-5.695
08073,0,0,0,20846.766,0,840.234
08075,1647251,0,0,0,0,0
08077,0,67553,0,8893.651,398397.349,0
08081,0,0,0,5487.347,9994033.332,1704.32
08083,0,25426,0,0,0,0
08085,0,680018,0,0,690263.704,2515.296
08087,0,0,0,401785.589,3516584.411,0
08089,0,0,0,-566,0,680
08093,0,12832,0,0,0,0
08097,0,20909,0,0,0,0
08099,276081.27,0,0,0,0,57
08101,0,0,0,21643.456,4356856.544,-116
08103,0,13061,0,0,0,0
08107,0,0,0,1325.563,3419170.813,1874.624
08109,0,0,0,0,0,0
08113,0,13516,0,0,0,0
08115,0,0,0,0,0,17
08117,0,79126,0,0,0,0
08123,1032133,0,0,9104959.789,0,256.211
09001,0,160510.9,0,1974893,2859524.764,248967.238
09003,14863,60771.15,0,572993.899,0,2250.041
09005,10875,120620.21,0,0,0,752
09007,0,0,0,68611.43,0,90470.57
09009,1632.877,180152,0,2843191.824,0,118879.102
09011,0,21752,15432946,81956.17,1527083.002,51575.562
09015,0,19162,0,2528205.867,0,155854.133
10001,21286,0,0,39500.676,99147,8347.324
10003,109571.635,0,0,1823808.987,1268172.491,192440.885
10005,32517,0,0,121.471,3899595.322,29329.831
11001,0,0,0,0,0,72316
12001,3,0,0,713706.981,1250034.981,8426.039
12005,182876.759,0,0,2375947.409,2380875.555,10694.137
12009,0,0,0,1339729.709,0,328932.292
12011,64683,0,0,6632765.525,0,927657.475
12017,0,0,7000079,0,14219179.38,41345.619
12027,0,0,0,1116,0,625
12031,3805.916,0,0,2240141.01,10685440.54,3321008.278
12033,325287.655,0,0,213345.547,5259139.436,4929.558
12039,0,189078,0,0,0,0
12047,0,0,0,0,0,171842
12049,0,0,0,2257988.406,0,5450.594
12051,228135.131,0,0,0,0,2694.101
12053,0,0,0,0,809746.948,2226.052
12055,0,0,0,9755.275,0,24924.725
12057,13601.42,0,0,7371567.9,8696583.595,247959.935
12061,0,0,0,65555.86,0,18.14
12063,31140,0,0,0,294984.112,-153.112
12065,21873,0,0,0,0,0
12069,0,0,0,496845,0,0
12071,0,0,0,9329220.852,0,8896.278
12073,0,17080,0,966240.545,0,7307.455
12077,360,0,0,0,0,0
12081,0,0,0,8619089.776,0,1474236.224
12085,0,0,0,14538826.08,2288966.188,1545347.733
12086,30326.1,0,11372865,6555763.319,0,730882.65
12087,0,0,0,0,0,7480.98
12089,603372.325,0,0,0,205080.187,29104.401
12095,83973.902,0,0,3162826.467,5766569.66,10267.249
12097,0,0,0,1796424.092,0,37012.908
12099,420782.203,0,0,786774.803,0,521689.302
12101,0,0,0,2427374.623,0,1659455.377
12103,0,0,0,523466.215,0,902227.784
12105,162554.554,0,0,16105436.97,4028701.971,156540.248
12107,294030.759,0,0,1222054.742,8831843.017,153873.941
12111,0,0,13760332,890257,0,533
12113,0,0,0,64435,0,0
12121,0,0,0,399130.786,0,40434.213
12123,297361.284,0,0,8852.436,0,40.356
12127,20706,0,0,10807916.64,0,61440.361
12129,0,0,0,1450483.061,0,402.939
13001,0,0,13913542,0,0,0
13009,0,50476,0,0,0,0
13015,0,58044,0,0,22224721.54,8493.463
13021,231341.487,0,0,14829.396,37222.368,201.873
13033,0,0,17777553,0,0,2766
13039,0,0,0,0,0,1534
13051,783702.748,0,0,62861.38,1261144.166,9534.706
13059,0,0,0,0,0,7.84
13061,0,252114,0,0,0,0
13067,0,0,0,7084.782,3107231.9,2164.298
13071,0,0,0,1,0,0
13073,0,47880,0,0,0,0
13077,0,0,0,314283.24,6554270.27,3646.491
13087,0,0,0,0,0,87
13089,0,0,0,0,0,20.58
13095,0,24366,0,0,521606.162,2490.838
13099,174713.216,0,0,76892.715,278123.571,78463.497
13103,2971.758,0,0,6259914.27,739859.823,474570.787
13105,0,453567,0,0,0,0
13111,0,13602,0,0,0,0
13113,1022,0,0,0,0,0
13115,42605.763,-412581,0,825.147,4025662.901,16348.013
13117,0,68604,0,0,0,0
13121,0,14534,0,0,0,267.62
13125,0,0,0,0,0,263.62
13127,435728.392,0,0,37078.34,0,22045.122
13135,11588,0,0,0,0,0
13137,0,127882,0,0,0,0
13141,0,-39806,0,0,0,0
13147,0,219865,0,47914.147,0,348.853
13149,0,0,0,4631836,12075361.32,3307.68
13153,0,0,0,136143.586,0,3221.414
13157,0,0,0,119448.322,0,3836.678
13159,0,39664,0,0,0,0
13163,0,0,0,872,0,28
13175,42291.734,0,0,14017.148,97977.991,53558.267
13179,99953.7,0,0,2971.109,0,3777.965
13185,0,0,0,0,0,23.52
13193,217200.698,0,0,0,0,3248.303
13205,0,0,0,29231,0,0
13207,0,0,0,35225,24338546.46,10227.541
13211,0,703,0,0,0,0
13213,0,671857,0,1257113,0,0
13215,0,170542,0,0,0,0
13219,0,368,0,0,0,0
13233,0,0,0,90826,0,0
13237,0,0,0,0,10143227.74,9793.257
13241,0,47669,0,0,0,0
13245,350813.873,20410.33,0,8084.732,85720.103,2635.342
13247,0,1531,0,0,0,0
13257,0,22254,0,0,0,0
13263,0,0,0,32104.122,0,1754.878
13269,18817,0,0,0,0,0
13285,0,91346,0,0,0,0
13291,0,7074,0,0,0,0
13293,0,0,0,92059,0,0
13297,0,0,0,30218,0,0
13301,0,0,0,0,0,14
13303,0,0,0,84739,0,138.18
13305,369219.43,0,0,41737.341,0,74145.497
13321,0,35731,0,101.719,581.281,0
15001,363783,35763,0,0,0,845155
15003,0,0,0,38572.348,1575986.034,6282167.136
15007,6145.552,39270.37,0,0,0,438094.108
15009,222863.59,9309.96,0,0,71605.859,1119089.879
16001,0,451585,0,0,0,0
16003,32050.27,0,0,0,0,0
16005,0,4009,0,0,0,0
16009,37345,0,0,0,0,0
16013,0,12636,0,0,0,0
16015,0,40147,0,0,0,0
16017,0,1273655,0,0,0,0
16019,170268,787388,0,0,0,0
16021,0,80308,0,0,0,0
16023,0,9724,0,0,0,0
16027,0,0,0,0,45065,0
16029,0,77872,0,0,0,0
16031,85547,52546,0,0,0,0
16033,0,10323,0,0,0,0
16035,0,1905897,0,0,0,0
16039,8856,109395,0,217122,0,0
16041,0,43418,0,0,0,0
16043,0,98633.69,0,0,0,0
16045,0,56551,0,0,0,0
16047,0,759468,0,0,0,0
16049,0,3378,0,0,0,0
16053,0,151573,0,0,0,0
16055,0,85518,0,1382596,0,0
16059,0,0,0,0,0,120
16063,0,15645,0,0,0,0
16067,0,98301,0,64690,0,0
16069,385997.947,0,0,33698.052,0,0
16073,0,386403,0,0,0,0
16077,0,264778,0,0,0,69517
16081,0,56970,0,0,0,0
16083,28348,355974,0,1447.441,45384.471,0
16085,0,47327,0,0,0,0
16087,0,2118620.91,0,0,0,0
17011,230805,0,0,913.517,0,282.483
17019,0,0,0,266474.26,67443.856,317
17021,20057,0,0,5121.95,7450795.05,0
17023,0,0,0,0,0,320
17025,0,0,0,3250,0,122
17027,0,0,0,0,0,764
17031,131395,0,0,308356.911,4576324.013,33942.621
17033,0,0,0,0,956495.223,1429.777
17039,0,0,8549903,57.645,0,43.295
17041,0,0,0,300.307,41651.693,0
17043,253135.942,52684,18848564,79453.18,0,57.398
17049,0,0,0,0,0,100
17051,0,0,0,2217,0,0
17053,0,0,0,8750.5,0,-79.5
17057,0,0,0,0,2212334.143,22192.857
17063,17198,0,14384845,510186,0,0
17065,0,0,0,0,0,59
17073,0,0,0,-459.017,0,-176.983
17077,0,0,0,70877,0,0
17079,0,0,0,0,8490012.912,10954.088
17089,54160,0,0,96896.771,0,11.789
17091,12385,3156,0,24092.98,0,0
17093,33.656,0,0,1038181.944,0,0
17095,0,0,0,0,0,0
17097,89230,0,0,132331.087,3950858.008,842.905
17103,368980,8694,0,30747,0,0
17109,0,0,0,0,0,100
17111,0,0,0,868.28,0,0
17113,1215011,0,0,0,0,-315
17115,611.499,0,0,2244.185,1712833.396,10317.314
17119,24184,0,0,124473.416,3248071.584,305
17121,0,0,0,6198,0,0
17125,0,0,0,0,2685973.068,4697.933
17127,0,0,0,-459.35,8049368.523,10.827
17133,0,0,0,247.296,0,300.704
17135,0,0,0,0,5499088.852,17848.147
17137,0,0,0,94.115,1424234.291,9234.593
17139,0,0,0,0,0,134
17141,4598,0,19357526,280.716,0,42.284
17143,0,0,0,237465.271,4423739.811,7272.918
17145,0,0,0,88033,0,0
17147,0,0,0,58526,0,0
17149,3891.69,0,0,0,146735.274,504.726
17155,0,0,0,4748.535,1604756.465,0
17157,0,0,0,0,13062913.2,11007.802
17161,33370,19306,14224700,149893,11761,0
17163,17601,0,0,0,0,131
17167,0,0,0,11316.702,1747728.513,4562.785
17171,0,0,0,12,0,0
17173,0,0,0,341927,0,0
17175,463817,0,0,0,0,0
17179,18419,0,0,27182.11,9187912.89,0
17183,21090,0,0,69766.88,1024012.12,0
17191,0,0,0,0,0,98.98
17193,0,0,0,18.803,0,124.197
17195,0,815,0,0,0,191
17197,24065,49158,19786156,548175.218,13548915.88,51848.365
17199,0,0,0,9821.26,1511301.939,2575.801
17201,30939,4736,0,55161.9,0,0
18001,0,0,0,0,10542,0
18007,238355.56,0,0,0,0,0
18015,0,32152,0,0,0,0
18017,26362,0,0,9,158420,0
18019,16890.3,0,0,0,0,0
18029,0,0,0,675937,4671013.978,17076.022
18037,0,0,0,0,55366,0
18039,0,17712,0,0,0,0
18041,0,0,0,0,0,255
18043,0,0,0,0,2688636.044,39239.956
18051,0,0,0,0,21887608.43,15804.568
18055,0,0,0,19076,0,0
18057,0,0,0,412878,0,0
18063,51403,0,0,0,0,23
18065,0,0,0,37271,0,0
18073,0,0,0,52000.742,9830796.774,39.487
18075,14007,0,0,0,0,0
18077,0,0,0,0,8410952.069,4498.932
18083,0,0,0,7931,264944.446,735.554
18089,0,0,0,1920057.313,4938512.319,11840.57
18091,45183,0,0,9419.428,2372947.572,0
18093,0,0,0,24417,0,0
18095,0,0,0,6552.794,0,54.206
18097,20680.271,0,0,33570.971,3371819.157,9078.601
18103,0,0,0,0,54549.361,189.639
18107,0,0,0,0,26292,0
18109,0,0,0,0,1204314.262,6172.738
18125,0,0,0,0,13386590.93,11997.068
18127,0,0,0,606065.809,3003709.19,0
18129,0,0,0,59260.485,3284059.515,0
18141,49194,26519,0,29909.25,51061.47,1083.278
18147,0,0,0,0,19874003.91,26731.091
18153,0,0,0,0,6482730.52,20221.48
18155,0,341854,0,0,0,0
18157,0,0,0,1188.152,127665.331,155.7
18163,0,0,0,24864.806,0,5.194
18165,0,0,0,50430,6186438.202,5741.798
18167,0,0,0,153933,4782282.985,7288.015
18169,0,0,0,0,0,-646
18173,0,0,0,27718.757,6296508.243,0
18177,0,0,0,3250.372,397359.671,586.957
18179,0,0,0,53327.413,0,71.587
18181,26208,18543,0,0,0,0
19001,18714,0,0,0,0,66
19003,0,0,0,0,0,13
19005,0,0,0,0,1768055.316,2088.682
19007,0,0,0,0,0,-58
19009,0,0,0,19364.028,0,1125.972
19011,0,0,0,-153.98,0,-138.02
19013,0,0,0,15380.748,66429.657,5772.597
19015,0,0,0,0,0,103
19017,0,0,0,163.546,0,220.454
19019,0,0,0,0,0,158
19021,974551,0,0,0,0,7
19027,398233,0,0,0,0,27
19029,0,0,0,198.46,0,50.54
19031,0,0,0,6.351,0,77.649
19033,94369,0,0,927239.248,0,4921.752
19037,0,0,0,175.166,0,174.834
19041,0,0,0,4373.868,77674.319,57.813
19043,0,0,0,0,0,80
19045,0,0,0,-8351.71,777610.71,0
19047,0,0,0,0,0,10
19051,0,0,0,51.96,0,28.04
19053,0,0,0,0,0,685
19055,0,0,0,0,0,50
19057,0,0,0,833.585,1180018.806,-228.391
19059,146431,0,0,0,0,113
19061,0,0,0,2528.107,289562.283,173.61
19063,0,0,0,26.739,0,24.221
19067,164869,0,0,-371,0,14.7
19073,30572,0,0,0,0,6.86
19075,0,0,0,0,0,95
19077,0,0,0,0,0,21.66
19079,536813,0,0,0,0,140
19081,274646,0,0,0,0,0
19087,0,0,0,0,0,78
19089,0,0,0,0,0,9
19095,0,0,0,0,0,11
19097,0,3393,0,440.043,0,148.957
19103,9823.792,0,0,2870.659,37206.359,19
19109,5292,0,0,-116.844,0,-1316.156
19111,0,802914,0,0,0,800
19113,11064.169,0,5282202,33449.702,1016037.224,139.41
19115,0,0,0,16307.452,4902818.68,36.87
19119,0,0,0,0,0,27
19121,0,0,0,26.345,0,14.655
19125,129.845,0,0,165.316,65298.977,-74.138
19127,0,0,0,13359.73,637811.768,84707.503
19131,99809,0,0,77.916,0,45.084
19133,0,0,0,0,0,0
19135,0,0,0,0,79368.795,0
19137,0,0,0,0,0,3
19139,0,0,0,3846.654,1695601.896,617.446
19141,0,0,0,0,0,0
19143,152231,0,0,0,0,8
19145,0,0,0,0,0,-555
19147,44384,0,0,0,0,38.6
19151,620805,0,0,0,0,18
19153,63585.28,0,0,1047702.63,24043,-382.51
19155,5000,0,0,14031.747,11773784.13,42037.118
19157,0,0,0,182.596,0,233.404
19163,7627.612,0,0,23581.863,674470.525,0
19165,0,0,0,0,0,6
19169,70723.388,0,0,0,564782.197,6035.437
19171,0,0,0,0,0,5
19173,0,0,0,0,0,57
19175,0,0,0,2361.4,0,1.6
19179,0,12740,0,0,4200869.936,5710.064
19181,0,0,0,-132.734,0,-941.266
19187,0,0,0,0,0,33
19189,63501,0,0,6.031,0,506.969
19193,0,0,0,43565.708,10525511.46,7112.834
19195,457925,0,0,0,0,0
19197,0,0,0,0,51138,67
20001,0,0,0,133,0,0
20003,0,0,0,0,0,-583
