County,Renewable,Hydro,Nuclear,Natural.Gas,Coal,Other
01001,471793.293,272954,0,6768419.527,50881.78,6830.4
01005,0,0,0,0,0,0
01015,0,176953,0,259775.531,0,14400.469
01017,0,0,0,0,0,0
01019,0,193703,0,0,0,0
01021,0,482545,0,0,0,0
01023,191956.598,0,0,38781.733,58964.139,2340.53
01025,69821.588,0,0,42857.547,0,444.207
01033,0,0,0,2795.072,5993857.426,42278.502
01037,0,411104,0,0,0,0
01039,0,21531,0,2834076.213,0,217.787
01047,241786.578,0,0,201341.792,0,2649.614
01051,0,1533310,0,0,0,0
01053,2278.67,0,0,34219.972,0,241420.826
01055,1190.208,0,0,10524.61,217945.182,0
01063,0,0,0,67301.564,2713806.786,2801.65
01069,0,0,13169684,0,0,1119
01071,0,0,0,0,5691435.542,11056.458
01073,0,0,0,233581.053,20748544.38,0
01077,0,2094059,0,0,0,0
01079,338520.324,1096591,0,36439.752,0,2991.945
01081,0,563733,0,7717107,0,0
01083,0,0,24771137,0,0,0
01085,0,0,0,529010,0,0
01091,9749.526,0,0,811.553,14090.872,179162.049
01095,0,645316,0,0,0,0
01097,259955.643,0,0,9626402.057,7862115.11,0
01099,121669.762,0,0,456.391,0,2052.847
01103,0,0,0,7307175,0,0
01111,0,159540,0,0,0,0
01113,577435.583,0,0,151231.417,0,0
01117,0,0,0,0,9572401.638,20768.362
01121,90828.248,306988,0,12642,63528.752,0
01123,0,0,0,2181265,0,0
01125,0,229090,0,0,0,0
01127,0,214662,0,0,6864659.286,10849.714
01129,0,0,0,986932.437,3166801.172,10463.391
01131,0,302175,0,251939.917,248033.863,14450.22
02016,6304.379,0,0,0,0,80892.701
02020,0,0,0,1104242.688,0,898.312
02050,0,0,0,0,0,64132
02060,0,0,0,0,0,20949
02068,0,0,0,0,189476.675,308.325
02070,0,0,0,0,0,22048
02090,0,0,0,639.868,430966.639,537120.964
02100,0,0,0,0,0,-226
02110,0,399573,0,0,0,1903
02122,0,393660.97,0,2595338.14,0,880
02130,0,187008,0,0,0,-683
02150,12606,123964,0,0,0,9766
02164,0,0,0,0,0,411
02170,0,74203,0,0,0,3777
02180,0,0,0,0,0,44336
02185,0,0,0,49803,0,24737
02188,1,0,0,0,0,25285
02195,0,10880,0,0,0,3025.08
02198,0,26579,0,0,0,244
02220,0,116523,0,0,0,4393
02230,0,26540,0,0,0,761
02240,0,0,0,0,0,12790.64
02261,0,62357,0,0,0,47618
02270,0,0,0,0,0,7176
02275,0,0,0,0,0,309
02282,0,0,0,0,0,5977
02290,0,0,0,0,0,8758
04001,5818,0,0,0,17341952.96,25895.043
04003,0,0,0,107594.075,2079801.925,359
04005,0,3671552,0,0,16397840.42,31693.577
04012,0,77910,0,0,0,0
04013,27455,435084,31199935,23864113.7,0,3.297
04015,0,2646644,0,3263500,0,0
04017,274741.689,0,0,8624.666,7412941.76,21767.73
04019,4762.258,0,0,520600.659,411269.813,0
04021,368,0,0,1280176.146,0,47.854
04023,0,0,0,22839.452,0,14.548
04025,5561,0,0,0,0,314
04027,0,0,0,608493.277,0,1081.723
05001,14012,0,0,0,0,0
05003,414582.537,0,0,64243.046,0,11592.909
05005,0,234712,0,0,0,0
05007,0,0,0,0,3588709.254,4723.746
05011,77082,0,0,0,0,0
05015,0,189500,0,0,0,0
05019,0,64707,0,0,0,0
05021,0,0,0,0,0,0
05023,0,218386,0,0,0,0
05029,0,148926,0,0,0,0
05031,0,0,0,91967.413,0,11.587
05033,0,138177,0,0,0,0
05041,113331.166,431239,0,49882.061,0,159.731
05047,0,146965,0,82487,0,0
05051,0,186787,0,0,0,0
05055,0,0,0,2835,0,0
05057,0,0,0,102681,0,0
05059,0,27003,0,2774610,0,0
05063,0,34566,0,0,11886080.65,9828.346
05065,3351.35,0,0,0,0,0
05069,318890.401,0,0,1236400.795,10946939.4,12443.152
05073,0,0,0,68743,0,0
05081,639746.231,0,0,80138.502,111442.999,19435.268
05089,0,940567,0,0,0,0
05093,0,0,0,674427,1619272.794,4879.206
05103,0,0,0,207139.052,0,5490.948
05107,0,0,0,0,0,-167
05109,0,29783,0,0,0,0
05115,0,706781,15022678,0,0,0
05119,34798,137381,0,518805,0,26
05123,0,0,0,0,0,0
05137,0,22961,0,0,0,0
05139,0,0,0,6376869,0,0
05143,3525,0,0,95804,0,0
05147,0,0,0,41066.743,0,5176.257
06001,747802.399,0,0,202765,0,11186.601
06005,0,960314,0,0,0,0
06007,69474,3111884,0,10885,0,0
06009,0,752558,0,0,0,0
06011,175110.603,0,0,68718.397,0,0
06013,145337,0,0,14862369.6,0,743294.492
06017,0,2037920,0,13187.86,0,0
06019,359848.618,5053440,0,1067749.072,0,0
06021,0,14729.22,0,0,0,0
06023,264491.982,0,0,502452.958,0,4646.528
06025,3874490,279229,0,611763.127,0,934.873
06027,1600818,289944,0,0,0,0
06029,2276491.395,282192,0,27038854,773621.314,31209.291
06031,0,0,0,36668.186,0,164969.814
06033,1243848,2462,0,0,0,0
06035,235743,30561,0,0,0,0
06037,1015836.679,1028439,0,17865120.07,0,241464.134
06039,16828,1324572,0,37741,0,0
06043,0,36313,0,0,0,0
06045,0,57709,0,0,0,3892
06047,30744,-325883,0,0,0,0
06051,231584,296450,0,0,0,0
06053,44197.58,12204,0,4189400,0,0
06055,5890,0,0,0,0,0
06057,0,438003,0,0,0,0
06059,204795.066,21936,0,1156341.774,0,0
06061,287330.903,1767308,0,504890.437,0,855
06063,209518.073,1514805.05,0,0,0,0
06065,2122585.773,89843,0,5094776.772,0,8348.825
06067,66127.6,626657,0,5464573,0,0
06071,696454,1452159,0,10391658.42,1131473.341,4
06073,302836.037,56928.19,13770832,7508722.463,0,123
06075,1224,0,0,441075,0,-1042
06077,206588.414,60051,0,235256.908,195126.631,97937.527
06079,0,0,18429925,113976,0,0
06081,94779,0,0,219024.912,0,29.088
06083,32887,0,0,414740.09,0,0
06085,67791.471,0,0,4286127.484,0,1133.285
06087,20490,0,0,83544.374,0,182.626
06089,826207.122,6182444,0,39510.418,0,0
06091,47925,25620,0,0,0,0
06093,-197,287343,0,0,0,0
06095,1604645,35814,0,347195.12,0,0
06097,5687398,14422,0,0,0,0
06099,3005.279,37606,0,1954800.891,0,1465.83
06101,0,0,0,2499590,0,0
06103,0,82464.56,0,33985,0,0
06105,0,338322,0,0,0,0
06107,55089,129175,0,17484.18,0,0
06109,112908,3496654,0,0,0,0
06111,13566.634,1522,0,1343199.506,0,0
06113,195917.163,0,0,689.837,0,0
06115,10216,1355491,0,0,0,0
08001,0,0,0,510314.266,3545433.608,1990.126
08003,25770,0,0,3544.305,0,87.695
08005,19656,0,0,0,0,0
08009,0,0,0,0,0,0
08011,269363,0,0,0,0,-195
08013,0,41905,0,62687.011,1044439.136,2.133
08015,0,2188,0,0,0,0
08019,0,-25237,0,0,0,0
08029,0,0,0,381.377,0,36.623
08031,41772.06,11957.22,0,198881.796,603826.897,-0.693
08035,0,7415.1,0,0,0,0
08037,0,0,0,13143,0,8
08041,3037,95036,0,1909042.649,3283120.38,1488.971
08043,2204.833,0,0,0,255128.167,0
08045,3115,60927,0,5296,0,0
08049,0,528.66,0,0,0,0
08051,0,211367,0,0,0,0
08059,2373.03,24900.48,0,198695.182,172472.049,0
08063,0,0,0,0,0,4297
08065,0,-87336,0,0,0,0
08067,0,35626,0,0,0,0
08069,3530.05,466662,0,65034,2204327.712,1030.288
08071,0,0,0,13.587,0,42.413
08073,0,0,0,8682.561,0,3853.439
08075,1922227,0,0,0,0,0
08077,0,61935,0,14843.974,345507.771,5.255
08081,0,0,0,11433.505,9740255.357,717.138
08083,0,19750,0,0,0,0
08085,0,422611,0,0,477627.073,2901.927
08087,0,0,0,292915.448,3369129.552,0
08089,0,0,0,0,0,223
08093,0,10833.57,0,0,0,0
08097,0,15384,0,0,0,0
08099,334414,0,0,12.55,101490.45,7
08101,0,0,0,134425.064,5905477.936,-289
08103,0,11413,0,0,0,0
08107,0,0,0,1340.228,3511053.864,1275.908
08109,0,0,0,0,0,0
08113,0,12522,0,0,0,0
08115,0,0,0,0,0,0
08117,0,57083.56,0,0,0,0
08123,898948,0,0,7631588,0,0
09001,0,111370,0,3316326,1216074.896,113834.104
09003,15008,47895.3,0,534840.139,0,5194.031
09005,14410,88400,0,0,0,1483
09007,0,0,0,236074.542,0,78376.458
09009,414.292,125270,0,3707866.572,0,149595.467
09011,0,13368,16750304,198599.949,1388323.991,73384.211
09015,0,13856,0,3721965,0,159828
10001,12399,0,0,111578.403,69955,3996.597
10003,90913.419,0,0,2753404.515,226703.998,30194.068
10005,34885,0,0,0,2271710.999,21904.001
11001,0,0,0,0,0,199858
12001,0,0,0,794697.496,1283125.54,8075.864
12005,218028.681,0,0,2851456.739,1826788.649,9773.724
12009,15272,0,0,994403.274,0,143682.726
12011,64482,0,0,5239370.658,0,705032.342
12017,0,0,127.561,0,12115487.65,32834.352
12027,53341,0,0,890.276,0,1395.724
12031,94559.819,0,0,3294101.247,10998796.98,3305008.101
12033,407354.291,0,0,645713.05,4848615.204,6369.748
12039,0,157704,0,0,0,0
12047,0,0,0,0,0,158343
12049,0,0,0,3678733.801,0,68717.199
12051,220355.468,0,0,0,0,1414.532
12053,0,0,0,0,597658.583,2282.417
12055,0,0,0,6131.192,0,2672.808
12057,11875.64,0,0,8232467.958,8967189.42,327190.622
