County,Renewable,Hydro,Nuclear,Natural.Gas,Coal,Other
01001,399681.209,154759,0,4952299.504,46208.337,12119.419
01005,1527.999,0,0,0,0,0
01015,0,71540.999,0,453238.157,0,2392.843
01017,0,1405.001,0,0,0,0
01019,0,77268,0,0,0,0
01021,0,193953,0,107.668,0,0
01023,288520.213,0,0,26348.68,57294.831,9477.74
01025,60698.116,0,0,65959.696,0,0
01033,0,0,0,1091.131,7532217.747,15868.124
01037,0,165520,0,0,0,0
01039,0,13475,0,1069786.847,0,22.153
01047,275860.454,0,0,88756.431,0,2430.899
01051,0,520560.001,0,0,0,0
01053,261418.646,0,0,28493.727,0,7417.63
01055,0,0,0,8259.444,506452.484,3.071
01063,0,0,0,356986.795,3619635,6319.205
01069,0,0,13097867,0,0,793.001
01071,0,0,0,0,9990759.942,13485.056
01073,3519.825,0,0,252609.511,21935030.59,0
01077,0,1090293,0,0,0,0
01079,388005.309,560686,0,37511.085,0,4456.306
01081,0,300503.001,0,3721174.001,0,0
01083,0,0,21227260,0,0,0
01085,0,0,0,554367,0,0
01091,151426.139,0,0,14622.912,10700.831,2535.121
01095,0,414140,0,0,0,31
01097,209227.172,0,0,5409432.126,11233319.08,0
01099,723998.94,0,0,4455.716,0,35692.547
01103,0,0,0,5292045.49,0,0
01111,0,45206,0,0,0,0
01113,599974.289,0,0,41978.084,0,2724.406
01117,0,0,0,0,12109532.69,13031.311
01121,62228.877,98377,0,25105.001,65797.123,0
01125,0,116001.997,0,0,0,0
01127,0,115093,0,0,7377018.312,16294.691
01129,0,0,0,862263.812,3562840.64,8515.547
01131,374532.936,197333,0,43991.985,46212.381,6894.837
02013,0,3928,0,0,0,4371.999
02016,0,0,0,0,0,33868.68
02017,0,0,0,0,0,28820
02018,0,0,0,0,0,4203.999
02019,10195.812,0,0,0,0,24298.188
02020,0,0,0,1255193.155,0,281.849
02050,0,0,0,0,0,57725
02060,0,0,0,0,0,21838.998
02068,0,0,0,0,213647.85,255.15
02070,0,0,0,0,0,20885.001
02090,21.755,0,0,436.577,427761.501,560718.683
02100,0,0,0,0,0,130
02110,0,365365.999,0,0,0,5578.002
02122,0,360591,0,2565940.87,0,3457.029
02130,0,177025,0,0,0,877.001
02150,0,91915.001,0,0,0,54411
02164,0,0,0,0,0,295.001
02170,0,62105,0,0,0,4012
02180,0,0,0,0,0,29393.999
02185,0,0,0,45968.886,0,25038.113
02188,1012,0,0,0,0,21473.001
02195,0,13529.999,0,0,0,3341
02196,0,0,0,0,0,447.002
02198,0,27276.999,0,0,0,-129
02220,0,112531.001,0,0,0,4246.998
02230,0,27108.001,0,0,0,7744.999
02240,0,0,0,0,0,13186.001
02261,0,49846.999,0,0,0,58639
02290,0,0,0,0,0,10392.16
04001,0,0,0,0,11702202.5,23228.504
04003,0,0,0,107397.524,2953995.243,138.233
04005,0,3441281,0,0,17597110.55,19228.444
04012,0,80013,0,0,0,0
04013,15627.998,283905,26782391,31313342.09,0,-468.136
04015,0,2917883,0,4083680,0,0
04017,0,0,0,16436.625,8300685.572,4396.812
04019,18223.875,0,0,394247.294,721368.152,0
04021,1086,0,0,1895982.999,0,142.999
04023,0,0,0,3174,0,0
04025,6701.001,0,0,0,0,1211.279
04027,0,0,0,654960.256,0,1397.456
05001,5091,0,0,0,0,0
05003,458723.547,0,0,51955.886,0,7927.696
05005,0,161033,0,0,0,0
05007,0,0,0,0,3564276.819,2580.181
05011,78165,0,0,0,0,0
05015,0,111840,0,0,0,0
05019,0,84441,0,0,0,0
05021,0,0,0,0,0,52.001
05023,0,175943,0,0,0,0
05029,0,120048,0,0,0,0
05031,0,0,0,39209.351,0,5.648
05033,0,116914,0,0,0,0
05041,111004.865,406779,0,38592.425,0,75.071
05047,0,345241,0,102653.81,0,9570.191
05051,0,263497.998,0,0,0,0
05055,0,0,0,1950.003,0,0
05057,0,0,0,40017,0,0
05059,0,30018.001,0,2724951,0,0
05063,0,0,0,0,12099666.25,7332.753
05065,1228.989,0,0,0,0,0
05069,323424.625,0,0,889764.906,9978232.17,16414.396
05073,0,0,0,25148,0,0
05081,610706.471,0,0,53437.823,102004.626,27287.663
05089,0,528091,0,0,0,0
05093,0,0,0,222491,0,144.001
05103,0,0,0,121472.859,0,39269.141
05107,0,0,0,0,0,0
05109,0,36246.999,0,0,0,0
05115,0,738172,15486102,0,0,0
05119,35399.429,148092,0,341101.778,0,-89.805
05123,0,0,0,-145,0,0
05139,0,0,0,3581909.999,0,0
05143,0,0,0,119330,0,0
05147,0,0,0,10410,0,1033
06001,958871.664,0,0,211070.002,0,24303.337
06005,0,663285,0,0,0,0
06007,118928,3140675.998,0,11066.002,0,0
06009,0,323440.001,0,0,0,0
06011,129282.012,0,0,0.988,0,0
06013,170206,0,0,12660510.92,0,923712.165
06017,0,1141162.999,0,0,0,0
06019,305946.221,2137526,0,875932.777,0,0
06021,0,7227.999,0,0,0,0
06023,404368.027,0,0,459209.551,0,28680.052
06025,3834733.996,253731,0,433663.125,0,962.875
06027,1711976,161522.001,0,0,0,0
06029,2056609.999,264001.002,0,30772925.69,574192.463,392364.37
06031,0,0,0,56769.981,0,214355.017
06033,1289507.999,9792.088,0,0,0,0
06035,208794,22345,0,0,0,0
06037,1056027.051,1392303.996,0,19522121,0,464159.194
06039,0,507227,0,17431,0,0
06043,0,648305,0,0,0,0
06045,0,30170.04,0,0,0,0
06047,26709.209,59956.999,0,11603,0,0
06051,219262.998,182116,0,0,0,0
06053,45992.997,14792,0,8017851.002,0,0
06055,8308,0,0,0,0,0
06057,0,329354,0,0,0,0
06059,159181.596,39329.004,0,1406654.4,0,0
06061,247642.1,1013866,0,89886.898,0,-508.999
06063,229149.554,1340936.001,0,0,0,0
06065,1616728.074,107882.001,0,1689438.933,0,50189.098
06067,55824.001,412633,0,5848442,0,0
06071,579597.998,1821490.999,0,13024708.6,1271977.551,40740.159
06073,330104.214,47834.77,17204000,6409974.418,0,3945.448
06075,0,0,0,482355.001,0,17582
06077,158661.404,38767.999,0,440910.914,440578.315,215029.03
06079,0,0,18588490,550550.001,0,0
06081,11172,0,0,243032.562,0,0
06083,19793.999,0,0,384168.1,0,0
06085,81948.054,0,0,4575258.775,0,193.159
06087,20277,0,0,177338.97,0,101.152
06089,836494.697,6332298.998,0,312701.563,0,0
06091,90765,21890.999,0,0,0,0
06093,0,359179.999,0,0,0,0
06095,1217809,44686.002,0,449531.322,0,0
06097,5994264,11793,0,0,0,0
06099,0,29333,0,1823420.423,0,4876.577
06101,0,0,0,3386640.004,0,0
06103,0,100835,0,12352.999,0,0
06105,0,375108.999,0,0,0,0
06107,62838.999,65120.998,0,0,0,0
06109,154883.001,3146902.999,0,0,0,0
06111,31037.909,3982.001,0,2411850.687,0,0
06113,163614.759,0,0,2310.242,0,0
06115,0,1034724,0,0,0,0
08001,31104.999,0,0,1006101.254,4503651.511,5843.234
08003,2208,0,0,184.344,0,78.655
08009,0,0,0,0,0,0
08011,128688.12,0,0,0,0,0
08013,0,36559.999,0,77412.389,1308209.77,0
08015,0,3924,0,0,0,0
08019,0,-72311.999,0,0,0,0
08029,0,0,0,338.117,0,39.883
08031,0,6010.001,0,324812.561,937839.439,0
08035,0,6365.698,0,0,0,0
08037,0,0,0,22934.94,0,63.699
08041,0,76082.001,0,3232339.399,3411816.329,304.275
08043,0,0,0,0,240064,0
08045,0,36157,0,101907.999,0,0
08049,0,9515.88,0,0,0,0
08051,0,237546,0,0,0,0
08059,0,9381.53,0,121978.737,213122.085,462.163
08063,0,0,0,0,0,5178
08065,0,-83746.129,0,0,0,0
08067,0,22023,0,0,0,0
08069,0,627591,0,93717,2250044.634,1122.366
08071,0,0,0,0.573,0,14.426
08073,0,0,0,139458.742,0,1488.257
08075,646529.999,0,0,0,0,0
08077,0,56297,0,11722.79,402589.597,22.614
08081,0,0,0,6467.743,10235487.64,1918.623
08083,0,8513.999,0,0,0,0
08085,0,461543.001,0,0,688632.545,1911.455
08087,0,0,0,744168.508,3727482.495,0
08089,0,0,0,-608.004,0,626.996
08093,0,5083.65,0,0,0,0
08097,0,17144.999,0,0,0,0
08099,359856.001,0,0,0,0,50
08101,0,0,0,38386.746,4433957.254,1086.999
08103,0,11819.001,0,0,0,0
08107,0,0,0,3903.798,3582841.948,1496.255
08109,0,0,0,0,0,0
08113,0,12450,0,0,0,0
08115,0,0,0,0,0,0
08117,0,73521.99,0,0,0,0
08123,156442,0,0,9088673.438,0,8653.09
09001,0,103180.999,0,2550227,2319156.7,339526.299
09003,13691,37929.899,0,589248.546,0,9871.241
09005,5845.001,67155.004,0,0,0,1509.001
09007,0,0,0,192507.968,0,308206.029
09009,1675.59,114742,0,3010362.29,0,557261.293
09011,0,13166,16386142,19789.51,1419565.838,108205.138
09015,0,11731.898,0,3567424,0,157673
10001,17277.001,0,0,68583.751,112563,22116.251
10003,0,0,0,2554426.238,1613963.381,197090.262
10005,30839,0,0,78.798,3895296.111,21929.462
11001,0,0,0,0,0,75251
12001,409,0,0,846535.814,1242457.977,23623.208
12005,200030.779,0,0,2317259.623,2400070.93,22633.717
12009,0,0,0,1933263.343,0,923621.657
12011,68186.997,0,0,5881732.899,0,1873818.099
12017,0,0,6672890,0,15292702.5,43298.499
12027,0,0,0,21593.693,0,1788.307
12031,8904.417,0,0,2257084.789,8686783.085,4326232.985
12033,241324.303,0,0,377115.127,6413358.103,11876.637
12039,0,148542,0,0,0,0
12047,0,0,0,0,0,224366.07
12049,0,0,0,1504695.159,0,20953.841
12051,150279.857,0,0,0,0,4325.569
12053,0,0,0,0,828424,0
12055,0,0,0,11391.57,0,34356.428
12057,13459.32,0,0,7617253.261,8577756.48,277583.093
12061,0,0,0,78511.611,0,293.389
12063,34988.002,0,0,0,411136.08,191.92
12065,16317,0,0,0,0,0
12069,0,0,0,427679.041,0,0
12071,0,0,0,9654505,0,14789
12073,0,5904,0,722212.816,0,92351.184
12077,52784,0,0,0,0,0
12081,0,0,0,8395245.656,0,2239788.264
12085,0,0,0,14932988.18,2355822.788,1942775.367
12086,25776.938,0,11226904,5533785.043,0,1808642.363
12087,0,0,0,0,0,20279.001
12089,562438.05,0,0,0,177010.546,51169.279
12095,69385.165,0,0,3645072.232,6102738.807,10423.989
12097,0,0,0,2374319.189,0,73055.809
12099,486881.197,0,0,764537.808,0,1092125.095
12101,0,0,0,1797346.504,0,3035592.333
12103,0,0,0,87194.529,0,1533681.47
